Regulator,Target,MoA,Likelihood
NR2E3,KAT2A,0.99469,0.886775
NR2E3,SNORA46,0.116175,0.707841
NR2E3,CENPT,0.99977,0.950287
NR2E3,ACTL9,-0.036842,0.041976
NR2E3,TRIM66,0.972067,0.442239
NR2E3,LINC01559,-0.574085,0.260828
NR2E3,H2AC1,-0.095924,0.717905
NR2E3,CLEC18A,0.953944,0.814491
NR2E3,USP50,0.704691,0.244337
NR2E3,SUCLA2,-0.959166,0.831653
NR2E3,FBXO40,0.305711,0.621621
NR2E3,KRTAP7-1,0.735451,0.339617
NR2E3,SNAP47,0.830404,0.210211
NR2E3,KRTAP12-4,0.095757,0.260828
NR2E3,RAB40AL,0.999547,0.911701
NR2E3,SYCP3,-0.132626,0.013418
NR2E3,CDK11B,0.112717,0.74024
NR2E3,CLEC18B,0.820605,0.796464
NR2E3,SERPIND1,0.125296,0.54781
NR2E3,CNTD1,0.981647,0.784865
NR2E3,OR10A4,-0.027964,0.48439
NR2E3,KCTD19,0.232335,0.10681
NR2E3,CST6,-0.041857,0.637666
NR2E3,JUN,-0.069296,0.157795
NR2E3,GPR45,0.285236,0.013418
NR2E3,GNPAT,0.150304,0.176105
NR2E3,NYX,-0.104847,0.652176
NR2E3,XAGE5,0.343695,0.041976
NR2E3,CA5A,0.132331,0.073013
NR2E3,PEX13,-0.258526,0.721409
NR2E3,TBL1XR1,-0.280283,0.123532
NR2E3,ST7-OT3,0.346812,0.502128
NR2E3,KCNH6,0.377442,0.727727
NR2E3,LIN37,0.960755,0.821574
NR2E3,NLRP11,-0.065253,0.192831
NR2E3,OR2T10,0.115172,0.141087
NR2E3,OR1B1,0.10204,0.041976
NR2E3,PIPSL,-0.361976,0.522667
NR2E3,KRTAP10-2,-0.065839,0.463986
NR2E3,KRT77,0.360707,0.10681
NR2E3,CCDC24,0.998189,0.877628
NR2E3,OR10G4,-0.118376,0.073013
NR2E3,ARTN,0.596714,0.176105
NR2E3,CYP26C1,0.201529,0.013418
NR2E3,KRTAP21-1,-0.095501,0.157795
NR2E3,JPX,0.863522,0.648453
NR2E3,KRTAP10-7,0.133798,0.089275
NR2E3,CCDC85C,0.123691,0.157795
NR2E3,DSCAML1,0.20075,0.718658
NR2E3,YWHAH-AS1,-0.04532,0.157795
NR2E3,TYW1,-0.25393,0.123532
NR2E3,ZNF274,0.490417,0.564204
NR2E3,LDHAL6B,0.417361,0.013418
NR2E3,DCT,0.093291,0.192831
NR2E3,IFT46,0.332907,0.52211
NR2E3,KIF5A,0.408641,0.339617
NR2E3,KLK2,0.230995,0.585011
NR2E3,SPINT3,-0.037936,0.041976
NR2E3,SLC4A2,0.103444,0.013418
NR2E3,ERO1A,-0.199382,0.123532
NR2E3,SNORD115-7,0.126467,0.041976
NR2E3,SNORD114-13,-0.063411,0.123532
NR2E3,TARBP1,0.638149,0.278309
NR2E3,HADH,-0.182003,0.027035
NR2E3,CHST9,0.232584,0.05684
NR2E3,ZC3H3,0.757016,0.244337
NR2E3,SNORD82,-0.088705,0.226844
NR2E3,SEC22A,0.26746,0.013418
NR2E3,EXO5,-0.068758,0.446945
NR2E3,OR4Q3,0.113622,0.027035
NR2E3,OR4F5,0.186507,0.10681
NR2E3,RNF183,0.274768,0.210211
NR2E3,PPM1J,0.367854,0.073013
NR2E3,MTNR1A,0.126897,0.089275
NR2E3,COX8C,0.133277,0.123532
ZBTB33,NKRF,1.0,0.998798
ZBTB33,PHF6,1.0,0.99941
ZBTB33,FAM199X,1.0,0.998353
ZBTB33,ENOX2,1.0,0.995828
ZBTB33,XIAP,1.0,0.997391
ZBTB33,RLIM,1.0,0.997537
ZBTB33,ATRX,1.0,0.999317
ZBTB33,JUND,-0.999948,0.994888
ZBTB33,KLF2,-0.999983,0.99601
ZBTB33,THOC2,1.0,0.997795
ZBTB33,BAZ1A,1.0,0.987927
ZBTB33,VEGFB,-0.999977,0.995298
ZBTB33,MTMR1,1.0,0.996139
ZBTB33,CUTC,-0.999367,0.970252
ZBTB33,ULBP3,1.0,0.989543
ZBTB33,CCDC107,-0.999968,0.99787
ZBTB33,ILK,-0.999981,0.992866
ZBTB33,ZDHHC9,1.0,0.991757
ZBTB33,ARMCX5,1.0,0.98597
ZBTB33,ASB7,1.0,0.992817
ZBTB33,AMER1,0.999999,0.969909
ZBTB33,ZBTB39,1.0,0.996299
ZBTB33,MYL6,-0.999972,0.996337
ZBTB33,CNOT6,1.0,0.994127
ZBTB33,ZNF280C,1.0,0.995434
ZBTB33,DCAF12,1.0,0.992728
ZBTB33,MARCHF2,-0.999903,0.99244
ZBTB33,PRR14L,1.0,0.993698
ZBTB33,ITPK1,-0.999435,0.967052
ZBTB33,GAS6,-0.999608,0.982983
ZBTB33,ZNF770,1.0,0.994317
ZBTB33,PHF1,-0.99987,0.948195
ZBTB33,TPM2,-0.999936,0.990578
ZBTB33,ZNF81,1.0,0.993646
ZBTB33,SYNC,-0.999955,0.990469
ZBTB33,PPP1R14A,-0.999951,0.974038
ZBTB33,HPR,-0.955741,0.838621
ZBTB33,ZNF24,1.0,0.970059
ZBTB33,HSPB2,-0.999901,0.987478
ZBTB33,KCTD2,-0.982121,0.857433
ZBTB33,RRAS,-0.99983,0.988454
ZBTB33,CKAP5,0.999978,0.982025
ZBTB33,ZUP1,0.999899,0.919739
ZBTB33,FIP1L1,0.999885,0.940653
ZBTB33,TTC39C,0.986493,0.664304
ZBTB33,SERPINF1,-0.999439,0.962282
ZBTB33,RNASE1,-0.999351,0.966957
ZBTB33,CHD8,0.999998,0.984029
ZBTB33,SNHG32,-0.999548,0.935205
ZBTB33,CSPG4,-0.99879,0.918931
ZBTB33,NECTIN1,0.999054,0.951837
ZBTB33,SLC28A3,0.982379,0.766159
ZBTB33,NATD1,0.337421,0.624389
ZBTB33,C11ORF68,-0.99983,0.98188
ZBTB33,RNF6,1.0,0.987089
ZBTB33,OR10V1,-0.101985,0.05684
ZBTB33,GASK1A,-0.425581,0.689135
ZBTB33,ERCC6L,0.999998,0.955832
ZBTB33,DACT3,-0.999348,0.975468
ZBTB33,PLAAT3,-0.994896,0.893768
ZBTB33,PECAM1,-0.999952,0.979661
ZBTB33,CD79B,-0.999919,0.973523
ZBTB33,CDK12,0.999998,0.962422
ZBTB33,LPAL2,-0.0274,0.483887
ZBTB33,ENPP3,-0.653482,0.650882
ZBTB33,OR7D2,0.347467,0.176105
ZBTB33,ERCC2,-0.936563,0.818416
ZBTB33,QRICH2,0.38841,0.10681
ZBTB33,ZNF326,0.999912,0.761836
ZBTB33,GDPD4,0.135428,0.572652
ZBTB33,SIRAL1,0.115743,0.504575
ZBTB33,ZMAT5,-0.999885,0.972494
ZBTB33,MSL3,0.96498,0.600326
ZBTB33,NCOA5,0.919058,0.86076
ZBTB33,UGP2,-0.41598,0.62001
ZBTB33,TAF7L,0.912606,0.418341
ZBTB33,PPAN-P2RY11,0.09231,0.634184
ZBTB33,CD248,-0.999721,0.952992
ZBTB33,TMEM69,0.984807,0.750711
ZBTB33,SHARPIN,-0.99978,0.979222
ZBTB33,PCDHA13,-0.044645,0.67873
ZBTB33,BRD3,0.999997,0.981499
ZSCAN30,FBXO6,-0.99604,0.954171
ZSCAN30,KDELR2,-0.999272,0.964456
ZSCAN30,LOC100128288,0.999955,0.92004
ZSCAN30,ARL17A,0.992052,0.89128
ZSCAN30,CEP290,1.0,0.969751
ZSCAN30,RNPC3,1.0,0.979399
ZSCAN30,TRPM2,-0.991416,0.839473
ZSCAN30,ZBED8,0.99998,0.937488
ZSCAN30,DCAF11,0.28202,0.83276
ZSCAN30,CFAP119,0.106414,0.591539
ZSCAN30,ADHFE1,0.999707,0.837501
ZSCAN30,APOA2,0.107736,0.10681
ZSCAN30,JRK,0.999884,0.921688
ZSCAN30,DYRK1A,0.999985,0.973024
ZSCAN30,TYW5,0.999845,0.935087
ZSCAN30,GRIK2,0.797484,0.447239
ZSCAN30,ZFP3,0.997455,0.94409
ZSCAN30,TPM4,-0.96424,0.790546
ZSCAN30,FLNA,-0.957378,0.891493
ZSCAN30,PAQR6,0.518624,0.47902
ZSCAN30,KDELR3,-0.981904,0.855876
ZSCAN30,OR8K5,-0.315732,0.324834
ZSCAN30,GABRR2,0.996134,0.71563
ZSCAN30,LIG4,0.999999,0.952575
ZSCAN30,HNRNPH1,0.999697,0.911933
ZSCAN30,SPTB,0.867019,0.806128
ZSCAN30,TAAR6,-0.02982,0.041976
ZSCAN30,ZDHHC18,-0.99647,0.860584
ZSCAN30,WEE2,0.835588,0.141087
ZSCAN30,HTR4,0.211023,0.767129
ZSCAN30,LRRC3B,0.71039,0.309453
ZSCAN30,SUPT20H,0.999969,0.945073
ZSCAN30,THTPA,0.315544,0.816482
ZSCAN30,DNER,0.32179,0.176105
ZSCAN30,MCL1,-0.859796,0.572154
ZSCAN30,MYLK4,0.143075,0.244337
ZSCAN30,SNORD59A,-0.041855,0.041976
ZSCAN30,SLC5A6,-0.986602,0.582301
ZSCAN30,C9ORF163,0.861809,0.816336
ZSCAN30,LINC01551,0.180103,0.073013
ZSCAN30,FAM237A,-0.135451,0.027035
ZSCAN30,FAR1,0.998503,0.745982
ZSCAN30,CERS3,-0.684139,0.38096
ZSCAN30,SULF2,-0.977824,0.918283
ZSCAN30,KMT5B,0.999015,0.738623
ZSCAN30,ZNF419,0.984169,0.521566
ZSCAN30,KCNK5,-0.148556,0.123532
ZSCAN30,TTLL2,0.771896,0.5265
ZSCAN30,SHC3,-0.117441,0.027035
ZSCAN30,BOLA2,-0.999047,0.793347
ZSCAN30,SAE1P1,-0.880999,0.40614
ZSCAN30,IGSF8,-0.942246,0.500167
ZSCAN30,RAB20,-0.956016,0.634946
ZSCAN30,SEL1L3,0.990481,0.738623
ZGLP1,BRICD5,1.0,0.999674
ZGLP1,P2RY11,1.0,0.998737
ZGLP1,CCDC154,1.0,0.996962
ZGLP1,PAQR6,1.0,0.997826
ZGLP1,QRICH2,1.0,0.992636
ZGLP1,ITIH4,1.0,0.992955
ZGLP1,TEPSIN,1.0,0.999354
ZGLP1,CDK3,1.0,0.998876
ZGLP1,DNASE1L2,1.0,0.997489
ZGLP1,UBXN11,1.0,0.998536
ZGLP1,CATSPERQ,1.0,0.995144
ZGLP1,PRR22,1.0,0.997704
ZGLP1,SPRN,1.0,0.998448
ZGLP1,PABPC1L,1.0,0.996758
ZGLP1,WDR97,1.0,0.996967
ZGLP1,NPFF,1.0,0.998012
ZGLP1,DPH7,1.0,0.998101
ZGLP1,PHKG2,1.0,0.997918
ZGLP1,FAM193B,1.0,0.998181
ZGLP1,AGER,1.0,0.998133
ZGLP1,CORT,1.0,0.995755
ZGLP1,CPT1B,1.0,0.997052
ZGLP1,SCX,1.0,0.994862
ZGLP1,PRKRIP1,1.0,0.998622
ZGLP1,ADM5,1.0,0.991961
ZGLP1,SLC25A34,1.0,0.987625
ZGLP1,SPPL2B,1.0,0.997397
ZGLP1,CALML6,1.0,0.988142
ZGLP1,GHRLOS,1.0,0.977917
ZGLP1,SERINC3,-0.999994,0.997038
ZGLP1,HINFP,1.0,0.985309
ZGLP1,ADAMTS13,1.0,0.990259
ZGLP1,AMH,0.999999,0.970858
ZGLP1,HCG27,0.999985,0.928745
ZGLP1,MSANTD1,1.0,0.989661
ZGLP1,SCNN1D,0.999955,0.954777
ZGLP1,PILRB,1.0,0.991791
ZGLP1,RAB3GAP1,-0.999993,0.996546
ZGLP1,MSH5,0.999995,0.979257
ZGLP1,CELF6,1.0,0.988347
ZGLP1,PDCD6IP,-0.999971,0.991237
ZGLP1,ZNF497,1.0,0.972187
ZGLP1,LYG1,1.0,0.978721
ZGLP1,UCN,0.999999,0.971331
ZGLP1,CLDN15,1.0,0.966199
ZGLP1,PIDD1,1.0,0.986496
ZGLP1,NDUFS1,-0.999969,0.994076
ZGLP1,FAM156A,1.0,0.985188
ZGLP1,MEF2B,1.0,0.985677
ZGLP1,C6ORF89,-0.985667,0.924689
ZGLP1,RSKR,1.0,0.976537
ZGLP1,C1ORF159,1.0,0.989691
ZGLP1,IQGAP1,-0.99999,0.993252
ZGLP1,SLC39A5,0.999995,0.964743
ZGLP1,H1-10-AS1,1.0,0.990706
ZGLP1,TRIM67,0.944828,0.815386
ZGLP1,DNHD1,0.999928,0.940191
ZGLP1,CHTF18,0.999999,0.989512
ZGLP1,ACVR1,-0.999913,0.974772
ZGLP1,UGT2B10,0.993183,0.895452
ZGLP1,KCNIP2,0.999997,0.976807
ZGLP1,TYK2,0.999997,0.958663
ZGLP1,ANKRD19P,0.999999,0.982352
ZGLP1,WASHC5,-0.999983,0.994791
ZGLP1,SLC7A9,0.999977,0.968434
ZGLP1,DDX21,-0.999974,0.99609
ZGLP1,FBXL17,-0.999024,0.962074
ZGLP1,ZNF133,1.0,0.986929
ZGLP1,ZNF839,0.999996,0.978959
ZGLP1,DMPK,0.999935,0.979029
ZGLP1,CTU1,1.0,0.992404
ZGLP1,ITFG1,-0.999704,0.976171
ZGLP1,SIRT6,1.0,0.993378
ZGLP1,KTN1,-0.999782,0.970479
ZGLP1,C17ORF67,0.999941,0.921929
ZGLP1,GGA1,1.0,0.990453
ZGLP1,ZBED8,0.999107,0.821298
ZGLP1,SEMA6C,0.999997,0.95078
ZGLP1,CANX,-0.999967,0.989838
ZGLP1,LRRC37A3,0.996011,0.704732
ZGLP1,TBC1D3B,1.0,0.956918
ZGLP1,RECQL5,1.0,0.984272
ZGLP1,ADAM17,-0.999971,0.992014
ZGLP1,AFF4,-0.99998,0.992652
ZGLP1,ZFYVE27,0.999999,0.959916
ZGLP1,RC3H2,-0.999988,0.99462
ZGLP1,SYCE2,0.999992,0.973157
ZGLP1,RNF41,-0.999138,0.975658
ZGLP1,PLK5,0.999652,0.945
ZGLP1,CELF5,0.99666,0.855234
ZGLP1,IPMK,-0.999983,0.991028
ZGLP1,FIZ1,1.0,0.986718
ZGLP1,TMEM86B,0.999999,0.977819
ZGLP1,PPP6C,-0.998963,0.929925
ZGLP1,ATAD1,-0.9995,0.894415
ZGLP1,RBM48,0.99938,0.845767
ZGLP1,ZNF682,0.999896,0.974641
ZGLP1,LY6G5C,0.999999,0.975468
ZGLP1,SLC25A19,0.999993,0.963593
ZGLP1,GANAB,-0.997999,0.952139
ZGLP1,FAM9C,0.151713,0.502849
ZGLP1,DNAJB13,0.983977,0.478445
ZGLP1,PDX1,0.907017,0.610165
ZGLP1,TAS2R8,0.301754,0.714531
ZGLP1,SPACA5,0.236849,0.05684
ZGLP1,DYNC1I2,-0.99996,0.975248
ZGLP1,PSME4,-0.998764,0.859829
ZGLP1,NDRG1,-0.997959,0.769945
ZGLP1,MUC6,0.990532,0.701424
ZGLP1,EPHA3,-0.914995,0.869764
ZGLP1,MTIF3,1.0,0.979695
ZGLP1,GLTPD2,0.554882,0.841411
ZGLP1,LGALS14,0.318299,0.10681
ZGLP1,SPDYE8,0.999878,0.783339
ZGLP1,ZRSR2,0.999987,0.942514
ZGLP1,ACSL3,-0.999446,0.91976
ZGLP1,SH3GLB1,-0.999254,0.908833
ZGLP1,MRPL41,1.0,0.992487
ZGLP1,TOP1P2,0.997881,0.926608
ZGLP1,ATP6V1H,-0.902012,0.798398
ZGLP1,ARHGAP36,-0.220032,0.123532
ZGLP1,STK4,-0.993999,0.957207
ZGLP1,GARIN6,-0.06431,0.293435
ZGLP1,SNORD93,-0.032715,0.551497
ZGLP1,SORT1,-0.353678,0.226844
ZGLP1,SLC13A2,0.348262,0.582387
ZGLP1,PJA1,-0.926874,0.853718
ZGLP1,SYN3,-0.032395,0.123532
ZGLP1,LOC145845,0.518949,0.478445
ZGLP1,NMT1,-0.430862,0.38096
ZGLP1,ZNF710,-0.999611,0.971499
ZGLP1,SNAPC1,-0.860862,0.260828
ZGLP1,TBC1D3F,0.700436,0.91575
ZGLP1,SNORD79,-0.033348,0.53265
ZGLP1,DNAJC13,-0.999883,0.941137
ZNF737,ZNF486,1.0,0.999937
ZNF737,ZNF506,1.0,0.999978
ZNF737,ZNF91,1.0,0.999942
ZNF737,ZNF681,1.0,0.999904
ZNF737,HID1,1.0,0.999521
ZNF737,ZNF85,1.0,0.999797
