Regulator,Target,MoA,Likelihood
NR2E3,HSFX2,1.0,0.984499
NR2E3,ESR1,1.0,0.991092
NR2E3,AZU1,0.999999,0.954232
NR2E3,MST1,1.0,0.960746
NR2E3,COA7,-0.999978,0.974368
NR2E3,SLC31A1,-0.99962,0.872879
NR2E3,CDCP1,-0.998721,0.849171
NR2E3,PLPPR3,0.999999,0.921369
NR2E3,FAM95B1,0.999813,0.73796
NR2E3,TUBB3,-0.999694,0.909239
NR2E3,LINC02145,0.99995,0.701841
NR2E3,HSF4,0.999988,0.891693
NR2E3,ZNF875,1.0,0.96574
NR2E3,EMID1,0.999794,0.707621
NR2E3,ROR1,-0.998931,0.829604
NR2E3,MAP3K5,-0.999219,0.822649
NR2E3,PCGF3,0.999964,0.822592
NR2E3,DPRXP4,0.990234,0.378315
NR2E3,SSH3,0.999999,0.956115
NR2E3,RWDD3,0.951197,0.47108
NR2E3,TRIB3,0.262068,0.637273
NR2E3,NPAS1,0.999999,0.923922
NR2E3,TAS2R50,0.260781,0.35088
NR2E3,GPR37,-0.99017,0.57318
NR2E3,ABCC4,-0.999826,0.949515
NR2E3,ANKRD36,0.999734,0.598051
NR2E3,CCT4,-0.999665,0.891464
NR2E3,NFE2,0.999398,0.395722
NR2E3,HSBP1L1,0.99081,0.552275
NR2E3,GARIN1A,0.999937,0.771812
NR2E3,FOXP4,-0.5292,0.597206
NR2E3,MYO15A,0.999992,0.882392
NR2E3,MMP12,-0.999345,0.777821
NR2E3,KCTD19,0.99327,0.425322
NR2E3,B4GALT5,-0.999889,0.903325
NR2E3,ARHGEF10L,0.979052,0.506138
NR2E3,INTS3,0.999805,0.735535
NR2E3,CYP2D6,0.588261,0.621656
NR2E3,SANBR,-0.623457,0.436611
NR2E3,PTH2R,-0.873921,0.778488
NR2E3,CCDC33,0.067844,0.018656
NR2E3,PDZK1P1,0.999968,0.631923
NR2E3,SH2D7,-0.24662,0.145551
ZBTB33,STAG2,1.0,0.99966
ZBTB33,RLIM,1.0,0.999529
ZBTB33,CUL4B,1.0,0.999758
ZBTB33,PHF6,1.0,0.999529
ZBTB33,LAMP2,1.0,0.998038
ZBTB33,BRCC3,1.0,0.99409
ZBTB33,DDX6,1.0,0.998431
ZBTB33,DCUN1D1,1.0,0.998572
ZBTB33,ENOX2,1.0,0.996856
ZBTB33,ATP11C,1.0,0.994868
ZBTB33,ZNF770,1.0,0.998941
ZBTB33,G3BP2,1.0,0.997394
ZBTB33,NKRF,1.0,0.990446
ZBTB33,USP9X,1.0,0.997589
ZBTB33,ATRX,1.0,0.998431
ZBTB33,TSPAN4,-0.999994,0.989445
ZBTB33,OCRL,1.0,0.984626
ZBTB33,FMR1,1.0,0.99099
ZBTB33,JUND,-0.999996,0.995425
ZBTB33,RBBP5,1.0,0.997892
ZBTB33,NUP153,1.0,0.997529
ZBTB33,CAND1,1.0,0.997614
ZBTB33,PRPS1,0.999936,0.672284
ZBTB33,GNPTG,-0.999998,0.993397
ZBTB33,UAP1L1,-0.9997,0.870294
ZBTB33,PRKRIP1,-0.999991,0.994787
ZBTB33,LUZP6,1.0,0.994242
ZBTB33,RIPOR1,-0.99976,0.92552
ZBTB33,HDX,0.999995,0.939207
ZBTB33,APOOL,1.0,0.997015
ZBTB33,TMLHE,0.999999,0.937856
ZBTB33,PPP4R3B,1.0,0.996633
ZBTB33,ANAPC11,-0.999989,0.995225
ZBTB33,SECISBP2L,1.0,0.993715
ZBTB33,RIN1,-0.999986,0.985991
ZBTB33,S100A13,-0.999945,0.949214
ZBTB33,STRN,1.0,0.996353
ZBTB33,PHPT1,-0.999995,0.99267
ZBTB33,JMJD8,-0.999996,0.989489
ZBTB33,ZNF146,1.0,0.989251
ZBTB33,NAGPA,-0.999994,0.990989
ZBTB33,GTPBP10,1.0,0.971219
ZBTB33,TBCCD1,0.999973,0.914618
ZBTB33,MARCHF5,0.999999,0.96237
ZBTB33,RASD1,-0.99841,0.730661
ZBTB33,OXLD1,-0.999996,0.994492
ZBTB33,DDX52,1.0,0.983365
ZBTB33,RPS19BP1,-0.999991,0.991994
ZBTB33,SGSH,-0.999949,0.961369
ZBTB33,NCK1,0.999999,0.973053
ZBTB33,TELO2,-0.999988,0.986668
ZBTB33,CSTF2,0.999475,0.438351
ZBTB33,TMEM222,-0.999989,0.987785
ZBTB33,NKD2,-0.999783,0.907414
ZBTB33,TEKT4,-0.998105,0.647542
ZBTB33,ZMAT5,-0.999989,0.990797
ZBTB33,TUBG2,-0.999743,0.909543
ZBTB33,AGL,0.999949,0.901339
ZBTB33,UBA6,1.0,0.980608
ZBTB33,OR1D2,0.225525,0.366473
ZBTB33,ALKBH7,-0.999994,0.987919
