Regulator,Target,MoA,Likelihood
NR2E3,C17ORF67,0.9948,0.906178
NR2E3,SPATA20,0.999421,0.876685
NR2E3,RNF215,0.999939,0.853127
NR2E3,G6PC1,-0.230383,0.641028
NR2E3,NOC3L,-0.719582,0.676606
NR2E3,ALDH7A1,0.994823,0.821894
NR2E3,ENO3,0.99994,0.960717
NR2E3,FOXP2,-0.980459,0.311018
NR2E3,RADX,-0.983569,0.469907
NR2E3,TBX20,-0.106447,0.645043
NR2E3,ZMYND12,0.985034,0.915285
NR2E3,ARHGAP19,-0.941341,0.93305
NR2E3,CCDC116,0.535919,0.66887
NR2E3,SIPA1L2,-0.507476,0.088811
NR2E3,AQP4,0.868071,0.92647
NR2E3,IL6,0.229998,0.699761
NR2E3,GRP,0.170481,0.882677
NR2E3,TBXT,-0.318614,0.140573
NR2E3,VTN,0.238287,0.282112
NR2E3,TBC1D8B,-0.967427,0.897574
NR2E3,LOC646214,-0.832934,0.910742
NR2E3,SMOX,0.84269,0.806816
NR2E3,MYF6,0.875817,0.791488
NR2E3,FLVCR1-DT,0.597117,0.890442
NR2E3,ARIH1,-0.987703,0.97865
NR2E3,NDP,0.739678,0.339748
NR2E3,SNORD11,0.288781,0.252646
NR2E3,BLOC1S6,-0.990648,0.696418
NR2E3,WDR38,0.896763,0.869471
NR2E3,SLC7A9,0.933104,0.535497
NR2E3,SCARNA15,-0.203144,0.420899
NR2E3,CIMAP2,-0.919742,0.573509
NR2E3,PPOX,0.999748,0.944663
NR2E3,GPR142,0.340177,0.019832
NR2E3,SCARNA6,-0.110064,0.195033
NR2E3,SPATA3,0.820945,0.722772
NR2E3,IFNA4,-0.608583,0.748976
NR2E3,PELP1,0.999626,0.92937
NR2E3,PICK1,0.920461,0.847113
NR2E3,SNORA11E,0.260426,0.252646
NR2E3,IWS1,-0.811951,0.891326
NR2E3,CATSPERE,0.971677,0.722772
NR2E3,RHOXF2B,0.917039,0.339748
NR2E3,OR10G4,-0.947332,0.848429
NR2E3,JPT2,0.709709,0.041507
NR2E3,RFX4,0.456245,0.613736
NR2E3,POLR2J2,0.247246,0.420899
NR2E3,ARAF,0.33764,0.612689
NR2E3,BMAL1,-0.792578,0.876156
NR2E3,TRMT2A,0.953392,0.167938
NR2E3,CNOT6L,-0.92926,0.729337
NR2E3,PRR5-ARHGAP8,0.995649,0.493074
NR2E3,MOGAT1,-0.087306,0.114459
NR2E3,FLT1,-0.920969,0.554462
NR2E3,XRRA1,0.984841,0.903939
NR2E3,CRYBA1,0.378974,0.167938
NR2E3,RCBTB1,-0.562404,0.683428
NR2E3,MEGF10,0.268238,0.778945
NR2E3,ABCA12,-0.960798,0.6786
NR2E3,SLC25A40,-0.985295,0.958493
NR2E3,GTF3C6,0.971219,0.493074
NR2E3,HSPA2,-0.443916,0.833634
NR2E3,NUDT7,-0.239603,0.311018
NR2E3,OR2T5,0.392444,0.282112
NR2E3,OR14I1,0.253651,0.252646
NR2E3,ABCC1,-0.150492,0.67383
NR2E3,CDK8,-0.991499,0.95004
NR2E3,ACTR3,-0.981128,0.638439
NR2E3,ZSCAN30,0.668661,0.90581
NR2E3,WDR47,-0.982183,0.968817
NR2E3,LINC00312,-0.749955,0.311018
NR2E3,SLC16A9,-0.184282,0.830903
NR2E3,CIBAR2,0.510077,0.786976
NR2E3,EHD3,-0.979216,0.420899
NR2E3,FAM209A,0.896175,0.223722
NR2E3,EGFL8,0.999281,0.875843
NR2E3,RALGDS,-0.676854,0.088811
NR2E3,TMEM14C,0.999309,0.768244
NR2E3,CEP164,0.840797,0.339748
NR2E3,GRK7,-0.966559,0.746785
NR2E3,HSP90AB4P,0.618104,0.114459
NR2E3,HOPX,-0.971244,0.367424
NR2E3,PTGES3,-0.889419,0.786325
NR2E3,SNX12,-0.993244,0.859814
NR2E3,FAM99A,0.222899,0.019832
NR2E3,PHYHIP,0.548613,0.167938
NR2E3,CLEC4M,0.440986,0.223722
NR2E3,TBX18,-0.337692,0.672919
NR2E3,NAMPT,-0.795314,0.420899
NR2E3,C6ORF58,0.75477,0.394692
NR2E3,ASS1,-0.202187,0.252646
NR2E3,H3C1,-0.093825,0.66984
