Regulator,Target,MoA,Likelihood
NR2E3,MAMDC4,0.743399,0.568813
NR2E3,RPGRIP1,0.136402,0.121421
NR2E3,PTTG2,0.013707,0.309154
NR2E3,LINC00293,-0.004034,0.42342
NR2E3,LCE3E,0.029143,0.025194
NR2E3,FHAD1,-0.003067,0.295653
NR2E3,ADAMTS13,0.521179,0.489839
NR2E3,UCP3,0.603477,0.220032
NR2E3,SNORD41,0.155518,0.304576
NR2E3,HLA-DRB5,-0.036552,0.362563
NR2E3,UBXN10,-0.00756,0.308145
NR2E3,LDHAL6B,0.456886,0.20616
NR2E3,ERICH6,-0.005731,0.415012
NR2E3,SNX12,-0.034682,0.111273
NR2E3,PTDSS1,-0.705016,0.425319
NR2E3,HSF5,0.516013,0.50384
NR2E3,ACCSL,0.606677,0.477257
NR2E3,GUCA1B,0.222037,0.157662
NR2E3,WDR49,0.525583,0.372606
NR2E3,KRTAP26-1,-0.005344,0.312977
NR2E3,OR10S1,0.014584,0.279201
NR2E3,KCNJ11,0.182944,0.437986
NR2E3,OR1D4,0.069845,0.016865
NR2E3,DLL4,-0.006042,0.334502
NR2E3,SNORD111B,-0.005323,0.016865
NR2E3,SNORD113-1,0.024205,0.06262
NR2E3,ANXA4,-0.459014,0.212849
NR2E3,GPHB5,0.01902,0.071779
NR2E3,CHRNA6,-0.009747,0.071779
NR2E3,RETN,-0.019572,0.033661
NR2E3,SLC25A45,0.781481,0.20616
NR2E3,TECTB,-0.004047,0.1305
NR2E3,BHMT,0.12162,0.191111
NR2E3,HSFX1,-0.00648,0.590139
NR2E3,RBM48,-0.004617,0.052889
NR2E3,PPY2P,0.032419,0.091903
NR2E3,NR0B1,-0.004363,0.033661
NR2E3,MAGEB3,-0.058223,0.091903
NR2E3,TNFSF12-TNFSF13,-0.048263,0.198173
NR2E3,SNORD114-6,-0.008067,0.0083
NR2E3,SRD5A3,-0.00654,0.033661
NR2E3,C3P1,0.015911,0.294643
NR2E3,SLC4A2,-0.03803,0.467318
NR2E3,COQ10A,0.199902,0.157662
NR2E3,FDX1,-0.005137,0.0083
NR2E3,ARHGAP22,-0.00972,0.1305
NR2E3,IER5,0.022064,0.0083
NR2E3,SMCO2,-0.003991,0.395413
NR2E3,TBX20,0.103276,0.20616
NR2E3,STPG3,0.167544,0.043481
NR2E3,OR2L8,-0.006833,0.0083
NR2E3,TEX26,0.109856,0.175064
NR2E3,RHBG,0.014812,0.016865
NR2E3,HSD3B1,-0.04415,0.1305
NR2E3,PTK2B,0.019055,0.06262
NR2E3,XYLT2,0.06826,0.043481
NR2E3,SPATA24,0.372506,0.232851
NR2E3,LHFPL5,0.058651,0.025194
NR2E3,YPEL1,0.508183,0.220032
NR2E3,DUSP13B,-0.014116,0.091903
NR2E3,ARID3B,0.071368,0.276997
NR2E3,TRPC2,0.066278,0.025194
NR2E3,DDX27,0.374446,0.175064
NR2E3,PCDHGA7,0.043088,0.349242
NR2E3,GABRP,-0.003901,0.148143
NR2E3,AKR1B15,-0.004261,0.052889
NR2E3,SFXN1,-0.20854,0.238687
NR2E3,TGIF2,0.016427,0.08266
NR2E3,CLUAP1,0.048847,0.071779
NR2E3,ACRBP,0.013077,0.182634
NR2E3,CSAG3,0.07383,0.08266
NR2E3,ARG2,-0.01342,0.148143
NR2E3,PAEP,-0.072452,0.111273
NR2E3,CT47A1,-0.113629,0.198173
ZBTB33,STAG2,1.0,0.999861
ZBTB33,CUL4B,1.0,0.999973
ZBTB33,PHF6,1.0,0.999993
ZBTB33,FAM199X,1.0,0.999612
ZBTB33,CHM,1.0,0.99939
ZBTB33,DIAPH2,1.0,0.999189
ZBTB33,XIAP,1.0,0.999626
ZBTB33,LAMP2,1.0,0.999797
ZBTB33,THOC2,1.0,0.999694
ZBTB33,MBTPS2,1.0,0.999525
ZBTB33,RLIM,1.0,0.999906
ZBTB33,RBM41,1.0,0.999492
ZBTB33,RAP2C,1.0,0.999385
ZBTB33,ATP11C,1.0,0.999281
ZBTB33,ZXDB,1.0,0.999448
ZBTB33,MOSPD1,1.0,0.999352
ZBTB33,PIGA,1.0,0.998856
ZBTB33,TAB3,1.0,0.999337
ZBTB33,ENOX2,1.0,0.999695
ZBTB33,ATP7A,1.0,0.998691
ZBTB33,FMR1,1.0,0.999341
ZBTB33,MOSPD2,1.0,0.99831
ZBTB33,APOOL,1.0,0.995729
ZBTB33,MTMR1,1.0,0.997839
ZBTB33,JADE3,1.0,0.999636
ZBTB33,STK26,1.0,0.999421
ZBTB33,ACSL4,1.0,0.994806
ZBTB33,NKRF,1.0,0.99975
ZBTB33,MMGT1,1.0,0.996376
ZBTB33,PUS7L,1.0,0.997762
ZBTB33,KLHL15,1.0,0.997745
ZBTB33,NXT2,1.0,0.992294
ZBTB33,GPRASP3,1.0,0.992937
ZBTB33,TXLNG,1.0,0.998432
ZBTB33,PLS3,1.0,0.993049
ZBTB33,TMEM123,1.0,0.996184
ZBTB33,MED14,1.0,0.989595
ZBTB33,FKTN,1.0,0.994508
ZBTB33,BRCC3,1.0,0.997868
ZBTB33,MSL3,1.0,0.996856
ZBTB33,PTBP3,1.0,0.998009
ZBTB33,NUP133,1.0,0.99472
ZBTB33,GMPPB,-1.0,0.995007
ZBTB33,EOLA2,0.963799,0.991743
ZBTB33,ECSIT,-1.0,0.972025
ZBTB33,RBMX2,1.0,0.999261
ZBTB33,PIN1,-1.0,0.996596
ZBTB33,CTDNEP1,-1.0,0.984906
ZBTB33,RPS6KA3,1.0,0.958521
ZBTB33,PHF20L1,1.0,0.995718
ZBTB33,POLA1,1.0,0.99896
ZBTB33,GAS2L1,-1.0,0.983449
ZBTB33,ASB9,0.999969,0.971931
ZBTB33,BLTP3B,0.983956,0.980322
ZBTB33,ZBTB41,1.0,0.994634
ZBTB33,ROGDI,-1.0,0.993158
ZBTB33,GPATCH2,1.0,0.974228
ZBTB33,POLR2E,-0.999992,0.992683
ZBTB33,SH3BGRL,0.992789,0.894999
ZBTB33,RADX,0.999999,0.902353
ZBTB33,ATP13A3,1.0,0.995158
ZBTB33,UTP14A,1.0,0.99942
ZBTB33,METRNL,-1.0,0.993574
ZBTB33,DMXL1,0.989356,0.991385
ZBTB33,SGSM3,-1.0,0.979286
ZBTB33,RBAK,1.0,0.993318
ZBTB33,SERF2,-1.0,0.965364
ZBTB33,GAS6,-1.0,0.963011
ZBTB33,DDX52,1.0,0.995833
ZBTB33,GRK6,-0.999999,0.981522
ZBTB33,CERS6,1.0,0.987068
ZBTB33,NR1H2,-1.0,0.988424
ZBTB33,FDXACB1,-0.004687,0.828144
ZBTB33,ZNF286A,1.0,0.981003
ZBTB33,ARMCX3,1.0,0.980896
ZBTB33,PFN1,-1.0,0.988604
ZBTB33,FAM131A,-0.999658,0.899432
ZBTB33,RB1CC1,1.0,0.99335
ZBTB33,METTL16,0.999993,0.795544
ZBTB33,ORC2,0.999998,0.964764
ZBTB33,TRAPPC11,0.999999,0.980627
ZBTB33,MIGA2,-0.999897,0.957262
ZBTB33,PREPL,0.999999,0.97838
ZBTB33,STARD5,-0.999998,0.889895
ZBTB33,ETFB,-0.999997,0.97048
ZBTB33,ANO7,-0.999995,0.836158
ZBTB33,CEP120,1.0,0.988728
ZBTB33,OR8D2,-0.004454,0.175064
ZBTB33,LINC00526,-0.117078,0.795879
ZBTB33,TRIT1,0.999838,0.951586
ZBTB33,SCGB1A1,-0.013965,0.071779
ZBTB33,CILK1,0.994647,0.978936
ZBTB33,GUSB,-0.99962,0.788354
ZBTB33,GBA2,-0.999999,0.969632
ZBTB33,VMA21,1.0,0.99727
ZBTB33,MEG8,0.031243,0.631474
ZBTB33,BCAP29,0.588791,0.928904
ZBTB33,PMS1,1.0,0.992158
ZBTB33,SOS2,0.965493,0.967139
ZBTB33,KIR3DL3,-0.047455,0.148143
ZBTB33,NAGA,-0.999998,0.950623
ZBTB33,CLIC4,0.988696,0.949985
ZBTB33,MCTS1,1.0,0.997408
ZBTB33,LTBP4,-1.0,0.946174
ZBTB33,SLC16A4,0.994483,0.625286
ZBTB33,BRMS1L,1.0,0.967332
ZSCAN30,NSDHL,-1.0,0.997637
ZSCAN30,CCNQ,-1.0,0.997071
ZSCAN30,RRP9,-1.0,0.997736
ZSCAN30,FAM219B,1.0,0.97797
ZSCAN30,SUV39H1,-1.0,0.995259
ZSCAN30,BYSL,-1.0,0.994699
ZSCAN30,MRPL4,-1.0,0.996811
