Regulator,Target,MoA,Likelihood
NR2E3,MGST2,0.91771,0.876947
NR2E3,CSTF1,-0.196283,0.666474
NR2E3,CA1,0.824835,0.451354
NR2E3,NRADDP,0.991173,0.649915
NR2E3,MARCHF10,0.641296,0.10238
NR2E3,LARP7,0.921764,0.751587
NR2E3,PCID2,0.709755,0.739125
NR2E3,OR1L8,0.18265,0.381842
NR2E3,TMEM258,0.998227,0.672958
NR2E3,UBR2,-0.993446,0.876357
NR2E3,PEX26,-0.999015,0.793928
NR2E3,NXF5,0.056628,0.065884
NR2E3,LYPD6B,-0.019116,0.427562
NR2E3,NOP16,0.950425,0.794675
NR2E3,PRPF40B,0.848747,0.393531
NR2E3,TUBB7P,0.112222,0.030789
NR2E3,SGK2,0.961778,0.28193
NR2E3,GPR107,-0.999131,0.835212
NR2E3,OR9Q1,-0.03705,0.10238
NR2E3,HMBOX1,-0.998446,0.698842
NR2E3,LINC02914,-0.086351,0.030789
NR2E3,BRD7P3,0.498127,0.339032
NR2E3,SNORD114-2,0.103076,0.030789
NR2E3,SNORD115-32,-0.019626,0.014822
NR2E3,ACSBG1,0.710228,0.345443
NR2E3,TPT1,0.987782,0.570322
NR2E3,IFNE,0.973312,0.367507
NR2E3,ELMOD1,0.297708,0.130174
NR2E3,CLSPN,-0.99784,0.850097
NR2E3,AARS1,-0.928967,0.364439
NR2E3,KANSL1L,0.50482,0.540024
NR2E3,FUCA1,-0.058346,0.065884
NR2E3,TIMM13,0.876167,0.397079
NR2E3,COX7B,0.986641,0.825553
NR2E3,MGAT5B,0.186893,0.130174
NR2E3,GFRA4,0.253821,0.10238
NR2E3,LAYN,-0.411936,0.25411
NR2E3,LRIT2,0.699616,0.17492
NR2E3,DPP6,0.556823,0.17492
NR2E3,SH2D6,0.594899,0.239912
NR2E3,LINC00479,0.927187,0.247538
NR2E3,PPP1R11,-0.033472,0.120721
NR2E3,RPL9,0.331094,0.030789
NR2E3,LTV1,0.603887,0.471338
NR2E3,KCNS1,-0.028717,0.344838
NR2E3,TRIM26,-0.340627,0.510671
NR2E3,CLTCL1,0.489016,0.19235
NR2E3,DENND2B,-0.02858,0.130174
NR2E3,HSPG2,-0.962384,0.696794
NR2E3,KIF12,0.400265,0.562585
NR2E3,KRTAP4-2,-0.023496,0.030789
NR2E3,KRTAP1-1,0.226815,0.030789
NR2E3,SNORA27,0.19743,0.014822
NR2E3,PRLR,-0.140337,0.19235
NR2E3,PSEN1,-0.976962,0.738272
NR2E3,SNORD114-28,0.156207,0.157165
NR2E3,MAP6D1,0.226547,0.17492
NR2E3,ELANE,0.079215,0.014822
NR2E3,BUD23,0.992326,0.755401
NR2E3,GABRA2,-0.023928,0.083987
NR2E3,EEF1A1,0.732992,0.647236
ZBTB33,STAG2,1.0,0.999905
ZBTB33,CUL4B,1.0,0.999729
ZBTB33,PHF6,1.0,0.999831
ZBTB33,TAF1,1.0,0.999759
ZBTB33,MTMR1,1.0,0.997538
ZBTB33,ENOX2,1.0,0.995729
ZBTB33,THOC2,1.0,0.99892
ZBTB33,NXT2,1.0,0.99146
ZBTB33,SLC9A6,1.0,0.99506
ZBTB33,OCRL,1.0,0.995479
ZBTB33,ATRX,1.0,0.999451
ZBTB33,ZNF280C,1.0,0.997799
ZBTB33,MED12,1.0,0.999169
ZBTB33,TAF1L,1.0,0.999485
ZBTB33,ARMCX5,1.0,0.985113
ZBTB33,GPRASP3,1.0,0.981275
ZBTB33,ATP8B1,1.0,0.99627
ZBTB33,KLHL13,1.0,0.988804
ZBTB33,CASK,0.999998,0.960188
ZBTB33,BRCC3,1.0,0.962957
ZBTB33,ATP7A,1.0,0.997827
ZBTB33,ZBTB39,1.0,0.99872
ZBTB33,PRKX,1.0,0.9814
ZBTB33,FAM117B,1.0,0.968489
ZBTB33,YIF1A,-0.999999,0.996535
ZBTB33,LCAT,-0.999998,0.989314
ZBTB33,ADNP,1.0,0.996996
ZBTB33,PFN1,-0.999997,0.996395
ZBTB33,SHPRH,1.0,0.997197
ZBTB33,TNKS,1.0,0.99544
ZBTB33,AFTPH,1.0,0.984897
