Regulator,Target,MoA,Likelihood
NR2E3,PRPS1,-0.999924,0.858826
NR2E3,SLC30A1,-0.999981,0.914707
NR2E3,YIPF5,-0.999997,0.955081
NR2E3,KLHL8,-0.999537,0.951186
NR2E3,PRKAR2A,-0.999872,0.906927
NR2E3,GPATCH11,-0.999979,0.898899
NR2E3,MARCHF8,-0.999996,0.948056
NR2E3,KRTAP4-3,-0.138008,0.011968
NR2E3,DMRT1,0.03586,0.403921
NR2E3,PAXX,0.999704,0.949174
NR2E3,TLE5,0.999843,0.916919
NR2E3,SNORD67,-0.012951,0.058028
NR2E3,OR6C3,0.216806,0.037651
NR2E3,ART5,-0.02801,0.070814
NR2E3,FOXD4L5,-0.016299,0.030846
NR2E3,ZNF276,0.999911,0.845304
NR2E3,KDM6A,-0.989107,0.815428
NR2E3,PIK3R1,-0.909804,0.629715
ZBTB33,ATP7A,1.0,0.999585
ZBTB33,WDR44,1.0,0.999537
ZBTB33,VCPIP1,1.0,0.998169
ZBTB33,MMGT1,1.0,0.998966
ZBTB33,CREB1,1.0,0.999696
ZBTB33,UBQLN2,1.0,0.998613
ZBTB33,CDC27,1.0,0.998598
ZBTB33,RBM27,1.0,0.999406
ZBTB33,LEMD3,1.0,0.993879
ZBTB33,LAMP2,1.0,0.992954
ZBTB33,PAFAH1B2,1.0,0.999408
ZBTB33,ZNF148,1.0,0.999569
ZBTB33,CNOT6L,1.0,0.999056
ZBTB33,CBLL1,1.0,0.99917
ZBTB33,IPO7,1.0,0.99869
ZBTB33,PAK2,1.0,0.997845
ZBTB33,ARMC1,1.0,0.998032
ZBTB33,PRPF40A,1.0,0.997426
ZBTB33,PPP1R3D,1.0,0.978419
ZBTB33,SLC71A1,1.0,0.997919
ZBTB33,IPO8,1.0,0.998702
ZBTB33,FBXO30,1.0,0.994045
ZBTB33,SEL1L,1.0,0.996083
ZBTB33,TIMM44,-1.0,0.994099
ZBTB33,TMEM65,1.0,0.98567
ZBTB33,IPO11,1.0,0.996705
ZBTB33,RAP2C,0.999975,0.842009
ZBTB33,MORC4,1.0,0.959092
ZBTB33,PAFAH1B1,1.0,0.997928
ZBTB33,ECH1,-1.0,0.97431
ZBTB33,RIMOC1,1.0,0.978543
ZBTB33,FAR1,1.0,0.95242
ZBTB33,RB1CC1,1.0,0.995278
ZBTB33,GTF2A1,1.0,0.998475
ZBTB33,UBQLN1,1.0,0.991935
ZBTB33,ELF1,1.0,0.992048
ZBTB33,PICK1,-1.0,0.996807
ZBTB33,SNX12,1.0,0.996202
ZBTB33,AAAS,-1.0,0.991113
ZBTB33,CCDC40,-1.0,0.955435
ZBTB33,ABCE1,1.0,0.937993
ZBTB33,PMS2P4,-0.996429,0.544817
ZBTB33,LRRC75B,-1.0,0.971562
ZBTB33,SNX13,1.0,0.986165
ZBTB33,HBS1L,1.0,0.982275
ZBTB33,MFSD6,1.0,0.971557
ZBTB33,N4BP1,0.999689,0.785942
ZBTB33,FAM9B,-0.010148,0.030846
ZBTB33,FAM238A,-0.99982,0.817817
ZBTB33,BORCS8-MEF2B,-1.0,0.99126
ZBTB33,SNORD114-1,0.034426,0.123475
ZBTB33,MBD3L1,0.010555,0.011968
ZSCAN30,POGZ,1.0,0.999318
ZSCAN30,OGT,1.0,0.99954
ZSCAN30,ZBTB40,1.0,0.99465
ZSCAN30,ZNF662,1.0,0.987378
ZSCAN30,INTU,1.0,0.998288
ZSCAN30,ZNF518A,1.0,0.99662
ZSCAN30,ZNF780B,1.0,0.998139
ZSCAN30,ING5,1.0,0.988104
ZSCAN30,TRIM45,1.0,0.973759
ZSCAN30,POLI,1.0,0.990819
ZSCAN30,ZNF862,1.0,0.996781
ZSCAN30,ZMAT1,1.0,0.998699
ZSCAN30,ZNF439,1.0,0.996044
ZSCAN30,ZFP62,1.0,0.99398
ZSCAN30,GTF2IRD2P1,1.0,0.959925
ZSCAN30,HOXD4,1.0,0.912592
ZSCAN30,PASK,0.999996,0.800014
ZSCAN30,ZNF875,1.0,0.981815
ZSCAN30,MYEF2,1.0,0.927741
ZSCAN30,ESPNP,0.999841,0.701092
ZSCAN30,SS18L1,1.0,0.992703
ZSCAN30,DGCR8,1.0,0.930992
ZSCAN30,TTC14,1.0,0.997574
ZSCAN30,HTR5A,-0.00506,0.284768
ZSCAN30,VARS1,-0.999288,0.698288
ZSCAN30,KCNU1,-0.00771,0.011968
ZSCAN30,CHORDC1P4,0.992799,0.723789
ZSCAN30,FFAR3,-0.012267,0.402721
ZSCAN30,NNAT,1.0,0.977037
ZSCAN30,TBCD,0.989001,0.748536
ZSCAN30,ZNF280D,1.0,0.953566
ZSCAN30,HOXC4,0.999948,0.685274
ZSCAN30,XKR9,-0.008815,0.011968
ZSCAN30,MR1,-0.969066,0.594756
ZGLP1,LUC7L,1.0,0.999978
ZGLP1,BRICD5,1.0,0.999962
ZGLP1,TEPSIN,1.0,0.99998
ZGLP1,DPH7,1.0,0.999903
ZGLP1,ATAD3B,1.0,0.999968
ZGLP1,CENATAC,1.0,0.999975
ZGLP1,CENPT,1.0,0.999951
ZGLP1,FAM193B,1.0,0.999951
ZGLP1,DNASE1L2,1.0,0.999605
ZGLP1,ELMOD3,1.0,0.999515
ZGLP1,RAD9A,1.0,0.99993
ZGLP1,ATG4B,1.0,0.999549
ZGLP1,ENO3,1.0,0.991639
ZGLP1,DUSP28,1.0,0.993268
ZGLP1,C2ORF68,1.0,0.999108
ZGLP1,ILKAP,1.0,0.997169
ZGLP1,TCAP,1.0,0.990838
ZGLP1,RDH16,1.0,0.997748
ZGLP1,EPOR,1.0,0.999042
ZGLP1,EGFL8,1.0,0.999668
ZGLP1,ZNF692,1.0,0.999902
ZGLP1,PABPC1L,1.0,0.999874
ZGLP1,FGF17,1.0,0.994307
ZGLP1,CDK3,1.0,0.999933
ZGLP1,CORO6,1.0,0.999034
ZGLP1,UAP1L1,1.0,0.987748
ZGLP1,U2AF1L4,1.0,0.99965
ZGLP1,LINC00685,1.0,0.998284
ZGLP1,GHRLOS,1.0,0.994335
ZGLP1,TRAPPC14,1.0,0.999083
ZGLP1,YME1L1,-1.0,0.997979
ZGLP1,IFT27,1.0,0.993626
ZGLP1,CARINH,1.0,0.996368
ZGLP1,CAPN10,1.0,0.998809
ZGLP1,ABCA7,1.0,0.991106
ZGLP1,C3ORF62,1.0,0.992777
ZGLP1,FBXO24,1.0,0.916779
ZGLP1,SLC26A6,1.0,0.997094
ZGLP1,TMEM79,1.0,0.988192
ZGLP1,ACYP1,1.0,0.983763
ZGLP1,DND1,1.0,0.992194
ZGLP1,NDOR1,1.0,0.996381
ZGLP1,C1ORF159,1.0,0.999758
ZGLP1,ATXN7L2,1.0,0.999101
ZGLP1,SCARB2,-1.0,0.992023
ZGLP1,NAT9,1.0,0.997047
ZGLP1,NPPA,1.0,0.980694
ZGLP1,MIGA2,1.0,0.996829
ZGLP1,APP,-1.0,0.973225
ZGLP1,PHKG2,1.0,0.996085
ZGLP1,H1-10-AS1,1.0,0.99834
ZGLP1,SLC9A5,1.0,0.998609
