Regulator,Target,MoA,Likelihood
NR2E3,THSD4,0.999757,0.880181
NR2E3,UBE2DNL,-0.047497,0.141458
NR2E3,SLC36A2,0.096697,0.25818
NR2E3,AHCY,-0.81768,0.369356
NR2E3,KCNJ1,0.700969,0.48769
NR2E3,LGALS7B,-0.588353,0.623922
NR2E3,MUC16,-0.08679,0.111578
NR2E3,CYP4B1,0.155326,0.111578
NR2E3,TLE2,0.425985,0.668484
NR2E3,LHFPL3,-0.045419,0.053143
NR2E3,TSBP1,0.476606,0.569736
NR2E3,POLR1A,-0.789374,0.545393
NR2E3,TUBGCP6,0.920271,0.30779
NR2E3,AHSG,-0.422879,0.439927
NR2E3,MIMT1,-0.053613,0.809618
NR2E3,RRH,0.555831,0.230549
NR2E3,HOXB9,0.321424,0.053143
NR2E3,ME3,0.998448,0.539683
NR2E3,RARS2,-0.506956,0.141458
NR2E3,FGFBP1,0.110689,0.111578
NR2E3,ATF6B,-0.345786,0.754317
NR2E3,STX19,0.32613,0.283648
NR2E3,PSMC3IP,0.142961,0.470364
NR2E3,MMD2,-0.136983,0.053143
NR2E3,MRPL30,-0.297363,0.171967
NR2E3,HELT,0.11053,0.025944
NR2E3,TBC1D3B,0.987046,0.829811
NR2E3,SMOC2,-0.045232,0.480522
NR2E3,ATXN2,-0.051216,0.053143
NR2E3,KIAA1549L,0.859142,0.25818
NR2E3,UBE2B,0.132927,0.30779
NR2E3,OR1L6,0.096294,0.171967
NR2E3,CCNYL4,0.090989,0.111578
NR2E3,GABRA5,0.79393,0.32998
NR2E3,PLD2,-0.117678,0.436987
NR2E3,TMEM95,-0.167139,0.230549
NR2E3,RPP30,0.148613,0.369533
NR2E3,OR51A4,-0.105947,0.450173
NR2E3,H2BC3,-0.087735,0.141458
NR2E3,PSMD6,-0.185963,0.025944
NR2E3,ARHGAP1,0.137442,0.025944
NR2E3,ZACN,-0.073317,0.141458
NR2E3,OCLNP1,-0.104622,0.111578
NR2E3,DGKH,0.514024,0.283648
NR2E3,BRSK1,0.173895,0.053143
NR2E3,LINC00474,-0.036028,0.141458
NR2E3,DHX16,-0.539808,0.230549
NR2E3,SLC9C1,-0.295017,0.25818
NR2E3,OR51B6,-0.040848,0.25818
NR2E3,NADK,0.097277,0.398072
NR2E3,ERICH5,0.474056,0.370128
NR2E3,GGT6,0.581927,0.372502
NR2E3,EIF3H,-0.759951,0.51024
NR2E3,SNORD45A,0.136443,0.111578
NR2E3,OR13C8,0.595908,0.111578
NR2E3,SNORD115-28,0.213435,0.111578
NR2E3,FOXI3,0.159671,0.025944
NR2E3,SPATA31C1,-0.046702,0.081561
NR2E3,RSPO4,0.118877,0.081561
NR2E3,FAM216A,-0.741145,0.32998
NR2E3,CPNE6,0.633616,0.350694
NR2E3,TNFSF18,-0.03975,0.606919
NR2E3,SEC63,-0.075643,0.053143
NR2E3,CNTROB,0.237061,0.141458
NR2E3,COL6A4P2,0.76404,0.171967
NR2E3,TOM1L2,0.640157,0.508427
NR2E3,SPRR2A,-0.239052,0.369356
NR2E3,STMN2,0.144086,0.081561
NR2E3,SNORA38,-0.123363,0.141458
NR2E3,TPD52L3,0.099469,0.053143
NR2E3,FBXW12,-0.075539,0.201826
NR2E3,ARV1,0.424472,0.30779
NR2E3,PYY,0.351626,0.171967
NR2E3,SAA3P,-0.242987,0.283648
NR2E3,MPDU1,-0.062434,0.111578
NR2E3,RFX4,0.122304,0.053143
NR2E3,SNORD115-40,-0.099738,0.201826
NR2E3,GOLGA7,-0.233224,0.201826
NR2E3,KRTAP22-1,-0.066666,0.053143
NR2E3,SLC39A12,0.097932,0.025944
NR2E3,USP17L6P,-0.221943,0.230549
NR2E3,PARN,-0.040057,0.025944
NR2E3,SLC43A3,0.487091,0.283648
NR2E3,AVPR2,0.521213,0.25818
NR2E3,STRADA,-0.039693,0.025944
NR2E3,OR10T2,-0.271088,0.544265
NR2E3,OSTF1,0.324619,0.660874
NR2E3,SERPINB11,-0.55163,0.369356
NR2E3,CALML5,0.089361,0.053143
NR2E3,SEMA6C,-0.161823,0.171967
NR2E3,POLR2J2,0.270266,0.053143
NR2E3,SLC38A9,-0.914044,0.32998
NR2E3,FBXO22,-0.293415,0.141458
NR2E3,SMU1,-0.191973,0.111578
NR2E3,SNORD43,0.101127,0.053143
NR2E3,TNK1,0.193327,0.081561
NR2E3,SNORD88B,0.239125,0.025944
NR2E3,TMEM263,0.279248,0.283648
NR2E3,NUP35,-0.035228,0.025944
NR2E3,ZNF492,-0.207689,0.141458
