Regulator,Target,MoA,Likelihood
NR2E3,EXPH5,0.999967,0.94715
NR2E3,GABPB1-IT1,0.999984,0.955113
NR2E3,SEC24A,-0.997917,0.834144
NR2E3,POU5F1B,0.999757,0.868855
NR2E3,ZNF160,0.999984,0.917783
NR2E3,GOLGA6L9,0.999972,0.915482
NR2E3,OR13C8,-0.024792,0.716566
NR2E3,RAN,-0.999291,0.92464
NR2E3,PPP1R14B,-0.445019,0.680645
NR2E3,FAM156A,0.999729,0.886913
NR2E3,KRTAP5-8,0.916368,0.543882
NR2E3,NODAL,0.998567,0.453773
NR2E3,ZNF267,-0.996612,0.716192
NR2E3,C5ORF15,-0.99858,0.663685
NR2E3,FAAH,0.999717,0.635966
NR2E3,RDX,-0.160474,0.812415
NR2E3,SMG8,-0.998301,0.758744
NR2E3,DCTN5,-0.99902,0.761447
NR2E3,TIAM2,-0.100412,0.479202
NR2E3,CASP3,-0.999538,0.80797
NR2E3,ACOXL,0.998498,0.767449
NR2E3,GGT3P,0.998173,0.617709
NR2E3,TDH,0.715231,0.422143
NR2E3,SLC7A14,0.489146,0.156635
NR2E3,RSPO1,0.982188,0.850066
NR2E3,ATG12,-0.998212,0.65962
NR2E3,HULC,0.225573,0.28768
NR2E3,LINC00112,0.063964,0.042739
NR2E3,LINC00472,0.989533,0.856372
NR2E3,YJU2,0.99016,0.659777
NR2E3,GAGE12J,-0.067289,0.17792
NR2E3,TM6SF2,-0.315329,0.522817
NR2E3,GTPBP8,-0.994121,0.439172
NR2E3,ANKRD30A,-0.024114,0.075469
NR2E3,ST3GAL5,0.604795,0.510157
NR2E3,TTC9C,-0.99927,0.763508
NR2E3,AANAT,0.144229,0.027546
NR2E3,IQGAP3,-0.93651,0.657444
NR2E3,RRAGC,-0.993312,0.48765
NR2E3,LYZL4,0.285514,0.349766
NR2E3,RNF170,-0.021396,0.282116
NR2E3,DPYSL5,-0.050607,0.083732
NR2E3,GABRA2,-0.050768,0.401265
NR2E3,TARS1,-0.999307,0.847517
NR2E3,TEX261,0.238049,0.058704
NR2E3,FAM171A2,-0.037416,0.393435
NR2E3,ZAN,-0.040252,0.116851
NR2E3,PRAMEF2,-0.03476,0.066645
NR2E3,PCDHA2,0.167829,0.487362
NR2E3,KLF6,0.134823,0.793269
NR2E3,ZNF197,0.09088,0.058704
NR2E3,ARGLU1,0.999173,0.635356
ZBTB33,STEEP1,1.0,0.999018
ZBTB33,XIAP,1.0,0.998275
ZBTB33,STAG2,1.0,0.999652
ZBTB33,MTMR1,1.0,0.997128
ZBTB33,ATP11C,1.0,0.997338
ZBTB33,PHF6,1.0,0.999095
ZBTB33,THOC2,1.0,0.997476
ZBTB33,FMR1,1.0,0.992948
ZBTB33,GPRASP3,1.0,0.994744
ZBTB33,NKRF,1.0,0.997161
ZBTB33,ENOX2,1.0,0.986894
ZBTB33,FAM199X,1.0,0.995284
ZBTB33,RLIM,1.0,0.986852
ZBTB33,PRPS1,1.0,0.982079
ZBTB33,VMA21,1.0,0.989814
ZBTB33,SLC9A6,1.0,0.954685
ZBTB33,LAMP2,0.999999,0.905203
ZBTB33,HNRNPH2,1.0,0.959775
ZBTB33,PCYT2,-0.999986,0.99051
ZBTB33,RBM41,1.0,0.976992
ZBTB33,ABCB7,0.999995,0.958573
ZBTB33,ZNF280C,1.0,0.993947
ZBTB33,TRMT2B,0.999999,0.952454
ZBTB33,DDA1,-0.999988,0.966313
ZBTB33,TNKS2,1.0,0.986514
ZBTB33,ANKRD36BP1,1.0,0.990616
ZBTB33,ATP5F1D,-0.999981,0.991018
ZBTB33,IL13RA1,0.999998,0.905214
ZBTB33,IDS,0.999999,0.934969
ZBTB33,ECSIT,-0.999882,0.947576
ZBTB33,ARMCX3,1.0,0.971349
ZBTB33,VAMP7,0.999995,0.891967
ZBTB33,MVD,-0.999915,0.963856
ZBTB33,AMN,-0.99997,0.948076
ZBTB33,MSANTD4,0.999936,0.932916
ZBTB33,NT5C,-0.999988,0.955429
ZBTB33,MORC3,0.999987,0.877555
ZBTB33,BLVRB,-0.999996,0.984834
ZBTB33,RBCK1,-0.999802,0.947032
ZBTB33,SLC75A1,-0.999859,0.794098
ZBTB33,EDF1,-0.999961,0.959718
ZBTB33,ADAM22,0.999985,0.918139
ZBTB33,TMEM120A,-0.999976,0.970222
ZBTB33,COQ8B,-0.999873,0.962325
ZBTB33,SLC9A7,0.999991,0.908894
ZBTB33,TLE5,-0.999952,0.936499
ZBTB33,PSMD10,0.999882,0.85154
ZBTB33,HRAS,-0.999803,0.907747
ZBTB33,ZNF770,1.0,0.977543
ZBTB33,S100P,-0.995538,0.661182
ZBTB33,NET1,0.999001,0.753994
ZBTB33,FAM174C,-0.999962,0.948708
ZBTB33,CAMSAP1,0.999999,0.945528
ZBTB33,UQCRC1,-0.999935,0.908757
ZBTB33,CASP9,-0.999779,0.925057
ZBTB33,FXYD3,-0.999794,0.878957
ZBTB33,IL17F,-0.106177,0.426061
ZBTB33,TMEM45B,-0.221031,0.778414
ZBTB33,ZNRF4,0.051831,0.300477
ZBTB33,DGKB,0.089355,0.109009
ZBTB33,TJP2,0.295071,0.75341
ZBTB33,KLC4,-0.999685,0.881103
ZBTB33,GNPTG,-0.999993,0.966566
ZBTB33,CDK10,-0.9999,0.907188
ZBTB33,MAGEA5P,0.917167,0.603676
ZBTB33,TRAPPC5,-0.999968,0.963975
ZBTB33,RAPGEF6,1.0,0.976757
ZBTB33,SF3B3,0.999999,0.942346
ZBTB33,GLI4,-0.999942,0.937787
ZBTB33,ZXDA,0.999955,0.935737
ZBTB33,ENOSF1,-0.998682,0.676726
ZBTB33,ANKHD1,0.999997,0.886299
ZBTB33,GFAP,0.976224,0.515856
ZBTB33,CTLA4,-0.033901,0.742503
ZBTB33,KRT8,-0.951339,0.519728
ZBTB33,MAPK1,0.999166,0.917754
ZBTB33,GPR31,0.23504,0.034988
ZBTB33,DDI1,-0.016165,0.100014
ZBTB33,EGOT,0.843127,0.268822
ZBTB33,TRPV1,-0.500914,0.553903
ZBTB33,SNORD110,-0.089452,0.006516
ZBTB33,TCEA2,-0.999203,0.703893
ZBTB33,MGAT4A,0.93273,0.566551
ZBTB33,LIPG,0.238226,0.092632
ZBTB33,MC4R,-0.045985,0.363957
ZBTB33,RAD21L1,-0.031043,0.400435
ZBTB33,ADAM7,0.525686,0.244661
ZBTB33,DPP8,0.999999,0.931314
ZBTB33,CTSA,-0.99336,0.556342
ZBTB33,TKTL1,-0.089429,0.116851
ZBTB33,NEK7,0.177432,0.337106
ZBTB33,IL22,-0.08436,0.050308
ZBTB33,SNORD115-27,-0.066024,0.050308
ZBTB33,HSFX1,-0.045701,0.13308
ZBTB33,SCFD2,0.993224,0.390311
ZBTB33,QDPR,-0.991569,0.542658
ZBTB33,LINC00593,0.587134,0.209901
ZBTB33,FUT6,-0.020004,0.034988
