Regulator,Target,MoA,Likelihood
NR2E3,TMC1,-0.433904,0.315383
NR2E3,MSANTD1,0.999833,0.856197
NR2E3,KIF2A,-0.991271,0.768375
NR2E3,MST1L,0.99999,0.905832
NR2E3,PRUNE1,-0.996602,0.704831
NR2E3,ACTMAP,0.995857,0.460901
NR2E3,ERLIN1,-0.999525,0.848364
NR2E3,KCTD19,0.997346,0.6656
NR2E3,CPO,0.914488,0.145554
NR2E3,SCYL2,-0.999631,0.829735
NR2E3,SCX,0.76399,0.114209
NR2E3,PGK1,-0.998951,0.71596
NR2E3,MANF,-0.197489,0.582887
NR2E3,OR52B4,0.087016,0.034823
NR2E3,OR5B21,0.050538,0.285483
NR2E3,SNORD114-26,0.098253,0.749976
NR2E3,PRX,0.999993,0.919717
NR2E3,CAND1,-0.999953,0.910887
NR2E3,ITPK1-AS1,0.936069,0.39148
NR2E3,PPP1R2B,-0.99917,0.82047
NR2E3,SAP30BP,0.967294,0.39161
NR2E3,TMEM88,0.999999,0.912797
NR2E3,TAF1A,-0.981329,0.823253
NR2E3,SALL4,-0.007179,0.556598
NR2E3,ALPP,0.996246,0.853837
NR2E3,TFE3,0.987225,0.55839
NR2E3,TAS1R1,0.966943,0.383617
NR2E3,DDX21,-0.996689,0.865723
NR2E3,AGAP11,0.999932,0.710814
NR2E3,PKN3,0.998633,0.570435
NR2E3,NKAPP1,0.611003,0.621299
NR2E3,TEX261,0.230364,0.082392
NR2E3,DOT1L,0.992927,0.757092
NR2E3,TPCN1,0.999985,0.879311
NR2E3,SNAR-F,-0.065553,0.098534
NR2E3,MBL1P,0.999985,0.941775
NR2E3,ZNF845,-0.992524,0.448288
NR2E3,SLC7A10,0.88413,0.237568
NR2E3,KRTAP19-2,-0.008765,0.082392
NR2E3,HPF1P1,-0.031818,0.286135
NR2E3,SNORD59B,-0.009617,0.269452
NR2E3,PLSCR5,-0.007857,0.098534
NR2E3,GNRH2,0.125179,0.050472
NR2E3,ABHD17B,-0.973084,0.359989
NR2E3,SEPHS2,-0.812614,0.339933
NR2E3,IRF2,-0.891195,0.275003
NR2E3,COPB2,-0.959764,0.201909
NR2E3,PPP2R5D,-0.983978,0.722318
NR2E3,TRUB1,-0.999802,0.665686
NR2E3,CHTF18,0.65574,0.781914
NR2E3,SLC25A46,-0.993759,0.689832
NR2E3,TAC1,0.217681,0.114209
NR2E3,CLEC3A,-0.178579,0.145554
NR2E3,DIRC1,-0.668779,0.160966
NR2E3,FHL1,0.998933,0.903087
NR2E3,UNC93A,-0.232414,0.073816
NR2E3,IL3RA,0.945122,0.90366
NR2E3,ANKRD23,0.675146,0.226403
NR2E3,STOML1,-0.017255,0.066616
NR2E3,SNORA21,0.125739,0.160966
NR2E3,NR2F2,0.902178,0.606335
NR2E3,OR8D1,-0.008666,0.020162
NR2E3,GPR158,-0.01999,0.006278
NR2E3,HOXA1,-0.889531,0.523645
NR2E3,TMEM138,0.071814,0.694249
ZBTB33,STAG2,1.0,0.997542
ZBTB33,PHF6,1.0,0.999397
ZBTB33,CUL4B,1.0,0.995816
ZBTB33,ENOX2,1.0,0.998598
ZBTB33,MTMR1,1.0,0.998536
ZBTB33,ZNF280C,1.0,0.998685
ZBTB33,RLIM,1.0,0.982061
ZBTB33,CCDC107,-1.0,0.994829
ZBTB33,KLHL13,1.0,0.995784
ZBTB33,GNPTG,-1.0,0.997387
ZBTB33,OCRL,1.0,0.994034
ZBTB33,OBI1,1.0,0.992148
ZBTB33,SIPA1,-1.0,0.997451
ZBTB33,DCAF17,1.0,0.988962
ZBTB33,FMR1,1.0,0.982938
ZBTB33,SHARPIN,-1.0,0.988498
ZBTB33,ZNF12,1.0,0.984326
ZBTB33,QSER1,1.0,0.996492
ZBTB33,VWA1,-0.999999,0.981331
ZBTB33,MRE11,1.0,0.992964
ZBTB33,UBXN4,1.0,0.978068
ZBTB33,NME3,-0.999994,0.973266
ZBTB33,CRIP2,-1.0,0.996823
ZBTB33,PGRMC1,1.0,0.968995
ZBTB33,TMLHE,1.0,0.964212
ZBTB33,VMA21,1.0,0.991264
ZBTB33,TRPM7,1.0,0.974862
ZBTB33,ADSS2,1.0,0.97064
ZBTB33,SCYL2,1.0,0.979928
ZBTB33,TERF1,1.0,0.981595
ZBTB33,CEP97,1.0,0.967154
ZBTB33,SIMC1,1.0,0.951206
ZBTB33,AGGF1,1.0,0.920237
ZBTB33,UBP1,1.0,0.9614
ZBTB33,LRRC58,1.0,0.977939
ZBTB33,PRPF40A,1.0,0.977845
ZBTB33,ATP11C,1.0,0.927985
ZBTB33,TMEM150A,-0.999999,0.991717
ZBTB33,UBE3A,1.0,0.981678
ZBTB33,TMTC3,1.0,0.991844
ZBTB33,DEK,1.0,0.987136
ZBTB33,DNAJC4,-0.999976,0.95304
ZBTB33,MRAP2,1.0,0.989719
ZBTB33,RAB1B,-0.999994,0.960627
ZBTB33,FHOD1,-0.999999,0.979046
ZBTB33,FKBP2,-0.999992,0.968527
ZBTB33,RFX7,1.0,0.979363
ZBTB33,LRPAP1,-0.99996,0.90877
ZBTB33,BAG5,0.999999,0.867604
ZBTB33,CRIP1,-1.0,0.992865
ZBTB33,DEF8,-0.999966,0.911553
ZBTB33,NR1D2,0.999999,0.914675
ZBTB33,FAM167B,-0.999999,0.992874
ZBTB33,KDM1B,1.0,0.970226
ZBTB33,TPM2,-0.999999,0.980042
ZBTB33,SPAST,1.0,0.993681
ZBTB33,CLCN3,1.0,0.974534
ZBTB33,CTSH,-0.999997,0.987071
ZBTB33,UTP15,1.0,0.796156
ZBTB33,MSH6,1.0,0.985686
ZBTB33,MAFK,-0.999983,0.937731
ZBTB33,SENP1,1.0,0.983209
ZBTB33,PM20D2,1.0,0.972729
ZBTB33,SCAMP1,0.999999,0.89341
ZBTB33,TFEB,-0.999999,0.988402
ZBTB33,VKORC1,-0.999957,0.926621
ZBTB33,RPS6KC1,1.0,0.969321
ZBTB33,ZBTB41,1.0,0.940048
ZBTB33,GALE,-0.999944,0.945496
ZBTB33,IFT70A,0.999995,0.871105
ZBTB33,ARFGEF1,0.999886,0.830564
ZBTB33,RILP,-0.999969,0.955963
ZBTB33,CCDC122,0.998926,0.676427
ZBTB33,PHF8,1.0,0.951634
ZBTB33,SMAD1,1.0,0.966245
ZBTB33,ZYX,-0.999999,0.975661
ZBTB33,POF1B,1.0,0.981677
ZBTB33,ARB2A,0.99997,0.869585
ZBTB33,VPS28,-0.999705,0.853137
ZBTB33,ARHGAP45,-0.999993,0.974451
ZBTB33,NUCKS1,0.999983,0.851345
ZBTB33,MCOLN1,-0.999992,0.9783
ZBTB33,CST6,-0.999999,0.98249
ZBTB33,DENND6A,0.999996,0.859922
ZBTB33,ACTBL2,-0.998836,0.756045
ZBTB33,SERTAD1,-0.999996,0.965498
ZBTB33,SLC30A5,0.999951,0.813158
ZBTB33,AGL,0.999994,0.856479
ZBTB33,SPATA2L,-0.999701,0.738986
ZBTB33,ANTKMT,-0.999774,0.886544
ZBTB33,ZDHHC13,0.999999,0.916554
ZBTB33,XPOT,1.0,0.984308
ZBTB33,PHYHD1,-0.999975,0.953557
ZBTB33,AGPAT5,0.999984,0.850983
ZBTB33,SAMD12,1.0,0.976636
ZBTB33,HEY1,0.999679,0.659135
ZBTB33,POLD3,0.999963,0.691
ZBTB33,ZNF271P,0.980979,0.596049
ZBTB33,PTDSS1,1.0,0.954233
ZBTB33,ZNF800,0.999976,0.766564
ZBTB33,CKLF,-0.999944,0.933701
ZBTB33,PROK2,-0.999555,0.867934
ZBTB33,MAP1B,1.0,0.977865
ZBTB33,EPOR,-0.999997,0.95871
ZBTB33,TRIM32,0.999991,0.918599
ZBTB33,PRECSIT,-0.999904,0.889772
ZBTB33,INTS10,0.997296,0.648085
ZBTB33,TPGS2,0.999762,0.522894
ZBTB33,CEP20,1.0,0.85776
ZBTB33,MYADM,-0.999991,0.967485
ZBTB33,CRACR2B,-0.999991,0.957319
ZSCAN30,PAN2,1.0,0.988864
ZSCAN30,ZNF10,1.0,0.984131
ZSCAN30,RNF138P1,0.999951,0.87764
ZSCAN30,PEX5L,0.999241,0.920158
ZSCAN30,ZNF397,1.0,0.980332
ZSCAN30,PNISR,1.0,0.98138
ZSCAN30,EFCAB13,0.999942,0.826616
ZSCAN30,ZNF182,1.0,0.938086
ZSCAN30,ZMAT1,1.0,0.97497
ZSCAN30,SETD7,-0.966684,0.792946
ZSCAN30,SETDB1,0.999898,0.532433
ZSCAN30,ZNF417,1.0,0.948613
ZSCAN30,C6ORF163,0.999984,0.859631
ZSCAN30,CREG1,-0.999513,0.81922
ZSCAN30,PHF6,0.617445,0.734453
ZSCAN30,SNORD114-23,0.18087,0.066616
ZSCAN30,AMY2B,1.0,0.976191
ZSCAN30,PGM5P2,0.996167,0.851305
ZSCAN30,NRBP1,-0.999866,0.883027
ZSCAN30,C14ORF93,0.999079,0.810378
ZSCAN30,KDELR2,-0.999934,0.81395
ZSCAN30,AHI1,0.999643,0.592235
ZSCAN30,CCDC141,0.825999,0.797183
ZSCAN30,TNRC6A,1.0,0.966787
ZSCAN30,MACROD2,0.936072,0.883161
ZSCAN30,DNAJC27,0.999994,0.930149
ZSCAN30,PROX1,0.99223,0.226403
ZSCAN30,HSPA12B,0.663247,0.835544
ZSCAN30,NSUN6,0.997643,0.769178
ZSCAN30,HEMK1,0.999999,0.846004
ZSCAN30,PGA4,-0.022066,0.350507
ZSCAN30,RALGAPA1,0.999994,0.821988
ZSCAN30,SLFN11,0.677724,0.607294
ZSCAN30,CDKL2,0.346594,0.815949
ZSCAN30,GLMP,-0.781439,0.539166
ZSCAN30,DEF8,0.131092,0.640297
ZSCAN30,SLC10A3,-0.999764,0.752196
ZSCAN30,ECM2,-0.013256,0.846465
ZSCAN30,ZNF670,0.742702,0.256554
ZSCAN30,MTTP,0.393485,0.020162
ZSCAN30,GPBP1,0.996372,0.479927
ZSCAN30,UBXN6,-0.905603,0.547948
ZSCAN30,SLC31A1,-0.66955,0.129704
ZSCAN30,CCDC125,0.995553,0.445194
ZSCAN30,KLF14,0.106463,0.066616
ZSCAN30,ZBTB12,0.952171,0.813307
ZSCAN30,RPS11,-0.933373,0.839826
ZSCAN30,TM9SF2,-0.582932,0.226403
ZSCAN30,MYO1H,0.523047,0.31917
ZGLP1,BRICD5,1.0,0.999477
ZGLP1,CELF6,1.0,0.995325
ZGLP1,YJEFN3,1.0,0.999119
ZGLP1,FAM193B,1.0,0.998443
ZGLP1,PILRB,1.0,0.99802
ZGLP1,ITIH4,1.0,0.994796
ZGLP1,TEPSIN,1.0,0.997178
ZGLP1,NPFF,1.0,0.994976
ZGLP1,SCNN1D,1.0,0.995651
ZGLP1,DNHD1,1.0,0.996677
ZGLP1,YJU2B,1.0,0.997616
ZGLP1,CDK3,1.0,0.9984
ZGLP1,CSAD,1.0,0.998505
ZGLP1,NCKAP1,-0.999995,0.977772
ZGLP1,GHRLOS,1.0,0.990324
ZGLP1,CROCCP2,1.0,0.996846
ZGLP1,KCNAB3,1.0,0.992949
ZGLP1,CENPT,1.0,0.997047
ZGLP1,RDH5,1.0,0.971382
ZGLP1,PCSK4,1.0,0.983508
ZGLP1,MTMR2,-0.999997,0.973362
ZGLP1,PROCA1,1.0,0.97791
ZGLP1,SULT1A3,1.0,0.990823
ZGLP1,CENATAC,1.0,0.994462
ZGLP1,ANKLE1,0.999999,0.954575
ZGLP1,SDHAP3,1.0,0.979772
ZGLP1,TRPV1,1.0,0.987564
ZGLP1,CAPN3,1.0,0.984114
ZGLP1,RRAGC,-0.999995,0.970942
ZGLP1,NDUFS1,-0.999997,0.980357
ZGLP1,SEPTIN7P2,1.0,0.994123
ZGLP1,SFI1,1.0,0.994187
ZGLP1,CACNB1,1.0,0.974567
ZGLP1,PIDD1,1.0,0.992626
ZGLP1,VPS35,-0.999968,0.902618
ZGLP1,WASL,-0.999972,0.907885
