Regulator,Target,MoA,Likelihood
NR2E3,THSD4,0.998991,0.999193
NR2E3,PHKA2,0.927187,0.989958
NR2E3,UST,-0.028136,0.943497
NR2E3,ANKDD1A,0.866745,0.863404
NR2E3,YME1L1,-0.066495,0.930667
NR2E3,HAO2,0.44745,0.920939
NR2E3,TTLL3,0.896013,0.964015
NR2E3,CTNND2,-0.156773,0.942474
NR2E3,MIMT1,-0.01939,0.25085
NR2E3,SPATA32,0.958301,0.965743
NR2E3,CELF6,0.932762,0.935459
NR2E3,RXFP2,0.375842,0.882913
NR2E3,PYGL,-0.195523,0.966153
NR2E3,TDRG1,0.340033,0.951201
NR2E3,GNPDA1,-0.796778,0.911544
NR2E3,C16ORF90,0.708409,0.547969
NR2E3,SNORA71E,0.949427,0.922265
NR2E3,TUBGCP6,0.890558,0.547969
NR2E3,DGAT1,0.818586,0.547969
NR2E3,BMS1P4,0.836509,0.519402
NR2E3,ANKMY1,0.873552,0.960278
NR2E3,SPRING1,-0.904899,0.90288
NR2E3,SNORD92,0.478355,0.96953
NR2E3,GARIN1A,0.943018,0.996211
NR2E3,ING3,-0.017008,0.186269
NR2E3,GADD45B,0.69462,0.45706
NR2E3,UROC1,0.775801,0.843651
NR2E3,PSMD11,-0.213819,0.961368
NR2E3,TRMT10A,-0.338314,0.76873
NR2E3,HM13,-0.075985,0.096846
NR2E3,SPATA6L,0.693315,0.668923
NR2E3,FBXO30,-0.496701,0.319961
NR2E3,NEK6,-0.324999,0.319961
NR2E3,RASL10A,-0.052605,0.186269
NR2E3,NOP2,0.644188,0.863941
NR2E3,GRHPR,0.330745,0.966699
NR2E3,TBC1D32,-0.036189,0.953391
NR2E3,COMMD2,-0.855073,0.972236
NR2E3,SERPINB2,-0.146012,0.625957
NR2E3,PLEKHG5,0.922138,0.935058
NR2E3,PRXL2A,-0.524716,0.45706
NR2E3,SIX6,0.373578,0.835007
NR2E3,ABHD18,0.473823,0.070503
NR2E3,PNMA6A,-0.400939,0.818165
NR2E3,FTLP10,-0.1186,0.021497
NR2E3,OR9K2,-0.198851,0.757281
NR2E3,OR2AT4,0.575251,0.125455
NR2E3,POU4F2,0.531738,0.903737
NR2E3,CDKL1,0.805606,0.625957
NR2E3,GABARAP,-0.802934,0.88146
NR2E3,NEK8,0.904723,0.757281
NR2E3,NUTM2G,0.898655,0.966387
NR2E3,FAM90A1,0.623388,0.519402
NR2E3,SNORA71C,0.59429,0.45706
NR2E3,MUSTN1,0.904404,0.943851
NR2E3,EEF1A2,0.355334,0.021497
