Regulator,Target,MoA,Likelihood
NR2E3,TPST2,0.008141,0.045734
NR2E3,KRTAP1-1,0.005963,0.918779
NR2E3,PPP3R2,-0.036487,0.888863
NR2E3,BAIAP2,0.00544,0.940883
NR2E3,CSAG1,0.222706,0.709814
NR2E3,GH2,0.001447,0.820948
NR2E3,VIPAS39,-0.000721,0.17927
NR2E3,OR6B2,0.002136,0.569794
NR2E3,RPRD1B,-0.533502,0.440814
NR2E3,WNT5B,0.004496,0.842421
NR2E3,TSGA10IP,0.205747,0.787176
NR2E3,CASTOR3P,0.122196,0.270707
NR2E3,LY6E-DT,0.006023,0.270707
NR2E3,CRYGB,-0.000375,0.068994
NR2E3,ASRGL1,0.210929,0.331813
NR2E3,OR4X1,0.027803,0.150346
NR2E3,GPR137B,-0.006312,0.331813
NR2E3,METTL2A,-0.506513,0.738358
NR2E3,CST13P,-0.001227,0.068994
NR2E3,UBE2Q1,-0.003738,0.150346
NR2E3,RNU6ATAC,0.00135,0.270707
NR2E3,TBX6,0.0085,0.150346
NR2E3,SUGT1P3,0.561162,0.676644
NR2E3,NRADDP,0.560769,0.534406
NR2E3,CPAMD8,0.203884,0.487685
NR2E3,PGGHG,0.420327,0.831547
NR2E3,OR2T4,-0.000425,0.045734
NR2E3,ADAMTS19,-0.000409,0.068994
NR2E3,OR51A7,-0.007227,0.708889
NR2E3,GP6,0.031413,0.17927
NR2E3,HIF3A,0.05743,0.094826
NR2E3,SMARCA4,-0.000386,0.094826
NR2E3,TTTY2,0.007067,0.045734
NR2E3,GATA1,0.002395,0.045734
NR2E3,FAM238C,0.29384,0.534406
NR2E3,FBXW10B,0.017959,0.094826
NR2E3,SLC6A18,0.050944,0.270707
NR2E3,DPH1,0.447433,0.605596
NR2E3,SPANXN3,-0.001052,0.150346
NR2E3,FLG2,0.009183,0.17927
NR2E3,KRTAP3-3,-0.003614,0.068994
NR2E3,CPA1,0.018233,0.17927
NR2E3,KCNK12,0.013683,0.744443
NR2E3,SND1-IT1,0.111983,0.150346
NR2E3,NLRP5,0.002074,0.150346
NR2E3,ACOX1,-0.0039,0.068994
NR2E3,FXYD1,0.228059,0.487685
NR2E3,ABCF2,-0.011674,0.270707
NR2E3,HPYR1,-0.002747,0.045734
NR2E3,IFT52,-0.303088,0.858329
NR2E3,UBE2Z,-0.00797,0.045734
NR2E3,SPATA31E1,0.000973,0.558158
NR2E3,FRG2,-0.012501,0.331813
NR2E3,RCN2,-0.030972,0.150346
NR2E3,POM121L1P,0.137927,0.150346
NR2E3,CCNL1,0.454787,0.605596
NR2E3,STIMATE,-0.002822,0.331813
NR2E3,GPR6,0.002749,0.555219
NR2E3,SRPRB,-0.001417,0.045734
NR2E3,H4C7,-0.016615,0.045734
NR2E3,UTP25,-0.552102,0.359943
NR2E3,ZFP36L2,0.202686,0.331813
NR2E3,HNRNPU,-0.279334,0.331813
NR2E3,CYP4Z1,0.083891,0.534406
NR2E3,IRX4,0.001462,0.094826
NR2E3,WBP2NL,0.00403,0.270707
NR2E3,ISL1,-0.000686,0.094826
NR2E3,ZNF200,-0.031358,0.068994
NR2E3,KRTAP12-2,-0.000494,0.094826
NR2E3,OPN1LW,0.019168,0.045734
NR2E3,OR2B11,0.002741,0.150346
NR2E3,ATPAF1,0.003841,0.094826
NR2E3,CT45A5,-0.007221,0.359943
