Regulator,Target,MoA,Likelihood
NR2E3,CT62,0.99999,0.859244
NR2E3,RNF207,1.0,0.943647
NR2E3,DTX2P1-UPK3BP1-PMS2P11,0.99998,0.844588
NR2E3,FAM221B,0.999992,0.847004
NR2E3,SFI1,0.999999,0.939673
NR2E3,WHRN,0.99999,0.879904
NR2E3,CCDC191,0.999948,0.672016
NR2E3,ZNF767P,0.999994,0.870941
NR2E3,MTCP1,0.999749,0.801831
NR2E3,LINC00173,0.999956,0.874039
NR2E3,EPRS1,-0.999995,0.887003
NR2E3,HSF4,0.999997,0.902608
NR2E3,RAP1GDS1,-0.999991,0.86647
NR2E3,ANO9,0.999933,0.765579
NR2E3,ZC3H12A,0.999941,0.674717
NR2E3,ABCA10,0.999936,0.749864
NR2E3,ARX,0.997941,0.527708
NR2E3,DTX2,0.999988,0.851033
NR2E3,AP2B1,-0.999943,0.798572
NR2E3,NEK8,0.987848,0.518877
NR2E3,CFAP91,0.992128,0.5982
NR2E3,NPHP1,0.99727,0.653201
NR2E3,RALA,-0.999856,0.711487
NR2E3,SLC25A30,-0.999926,0.86253
NR2E3,GABRB3,-0.996981,0.617638
NR2E3,HOXD9,0.999979,0.802672
NR2E3,LRPPRC,-0.999985,0.866509
NR2E3,TRPV4,0.999654,0.701881
NR2E3,MDGA2,-0.536535,0.292785
NR2E3,CALCA,0.99883,0.711693
NR2E3,SOAT1,-0.999786,0.841169
NR2E3,TTI2,-0.968603,0.567205
NR2E3,YEATS4,-0.999272,0.754569
NR2E3,OR6F1,0.354451,0.299368
NR2E3,GOLPH3L,-0.99987,0.791519
NR2E3,SNORD114-31,0.050599,0.13191
NR2E3,HDAC6,0.906614,0.543553
NR2E3,GAGE12F,-0.325969,0.278336
NR2E3,DDX4,0.216394,0.18874
NR2E3,C2ORF49,-0.999886,0.775346
NR2E3,AADAC,0.058027,0.13191
NR2E3,MAP4K2,0.293337,0.24621
NR2E3,CPB2,0.045145,0.13191
NR2E3,SHFL,0.999967,0.811584
NR2E3,ZNF792,-0.999649,0.744382
NR2E3,GRID2IP,0.418786,0.219984
NR2E3,ZMYND15,0.999945,0.788334
NR2E3,CYP2W1,0.986532,0.628839
NR2E3,H2AC12,0.022591,0.424263
NR2E3,CPPED1,0.021037,0.552682
NR2E3,GOLGA6D,0.074338,0.021469
NR2E3,KRT19,0.945016,0.459411
NR2E3,CHN2,-0.971317,0.589203
NR2E3,PKD2L1,0.982456,0.474395
NR2E3,MS4A10,0.024928,0.279117
NR2E3,RAN,-0.990703,0.55323
NR2E3,ERBB2,0.977065,0.278336
NR2E3,GNA15,0.999733,0.69874
NR2E3,CETN1,0.084113,0.088773
NR2E3,HSP90B3P,-0.999305,0.618037
NR2E3,BRD7,-0.990957,0.534437
NR2E3,PCSK7,0.992629,0.554381
NR2E3,ZNF57,0.758979,0.28964
NR2E3,COL5A3,0.765008,0.393086
NR2E3,EFHD2,0.999766,0.75246
NR2E3,PABIR3,0.942675,0.425413
NR2E3,GASK1B,-0.996937,0.641158
NR2E3,OR52E6,0.124119,0.18874
NR2E3,SLCO1C1,-0.051238,0.077356
NR2E3,DRC8,0.418131,0.219984
NR2E3,RHBDF1,0.999791,0.792693
NR2E3,UPK1A,0.944113,0.664308
NR2E3,MUC16,0.957594,0.28964
NR2E3,ABCC6P1,0.980237,0.28964
NR2E3,ENPP3,-0.04474,0.111048
NR2E3,RSPO4,0.998361,0.519842
NR2E3,ZDHHC13,-0.108289,0.077356
NR2E3,SH3RF2,0.89361,0.268551
NR2E3,EGOT,0.966396,0.486165
NR2E3,FUT2,0.989876,0.559057
NR2E3,RPS26P11,-0.314276,0.233589
NR2E3,MBP,-0.999669,0.717575
NR2E3,TSPAN6,0.033015,0.043862
NR2E3,VCX3B,0.021016,0.111048
NR2E3,CLCNKA,0.998808,0.611782
NR2E3,USP22,-0.995637,0.604104
NR2E3,EEF1A1,-0.747819,0.486012
NR2E3,RBMY1A3P,0.020921,0.043862
ZBTB33,ZNF770,1.0,0.996758
ZBTB33,ZNF260,1.0,0.997534
ZBTB33,VPS26A,1.0,0.985526
ZBTB33,EPRS1,1.0,0.99306
ZBTB33,UTP23,1.0,0.996879
ZBTB33,GMFB,1.0,0.989768
ZBTB33,MATR3,1.0,0.99584
ZBTB33,CNOT1,1.0,0.997468
ZBTB33,NAA15,1.0,0.995725
ZBTB33,LARP4,1.0,0.990984
ZBTB33,TMEM143,-0.999955,0.85478
ZBTB33,CDK12,1.0,0.99654
ZBTB33,ZXDB,1.0,0.996222
ZBTB33,NMD3,1.0,0.98732
ZBTB33,CUL5,1.0,0.994072
ZBTB33,CTDSPL2,1.0,0.997545
ZBTB33,PARP11,1.0,0.97803
ZBTB33,NAA25,1.0,0.993531
ZBTB33,SLC30A7,1.0,0.982907
ZBTB33,RFK,0.998992,0.768331
ZBTB33,ATR,1.0,0.992887
ZBTB33,PUS7L,1.0,0.99456
ZBTB33,CUL3,1.0,0.956927
ZBTB33,ZSCAN18,-0.999999,0.967301
ZBTB33,TMED2,0.999997,0.961818
ZBTB33,GALNT4,1.0,0.985896
ZBTB33,HIGD1B,-0.999999,0.955395
ZBTB33,TCEAL5,-0.999994,0.911795
ZBTB33,HCFC1R1,-1.0,0.991506
ZBTB33,OSR2,-0.999931,0.783693
ZBTB33,DEFA1B,-0.44661,0.434344
ZBTB33,CNPY4,-0.999989,0.894242
ZBTB33,ZNF480,1.0,0.96209
ZBTB33,SAA3P,0.03898,0.021469
ZBTB33,APPBP2,1.0,0.989238
ZSCAN30,ZNF493,1.0,0.988994
ZSCAN30,FAN1,1.0,0.952026
ZSCAN30,POGZ,1.0,0.974543
ZSCAN30,ZNF384,0.999968,0.908388
ZSCAN30,ZNF587,1.0,0.985089
ZSCAN30,SNORD116-28,1.0,0.973831
ZSCAN30,KIR2DL3,-0.343112,0.353928
ZSCAN30,ZNF239,0.992419,0.706192
ZSCAN30,SLC15A3,-0.999941,0.82938
ZSCAN30,ABI3,-0.999935,0.836333
ZSCAN30,LOC644936,-0.996654,0.551904
ZSCAN30,PIR,-0.999916,0.823746
ZSCAN30,MTMR3,0.999999,0.932645
ZSCAN30,LILRB3,-0.962152,0.512777
ZSCAN30,TIMM29,-0.999961,0.883558
ZSCAN30,ATP1B2,-0.208672,0.668618
ZSCAN30,GNRHR,0.999993,0.844331
ZSCAN30,OR5L1,-0.6011,0.308245
ZSCAN30,ME1,-0.782038,0.28964
ZSCAN30,AFF3,0.997619,0.530873
ZGLP1,SULT1A3,1.0,0.99981
ZGLP1,GSDMB,1.0,0.999598
ZGLP1,ZNF692,1.0,0.999981
ZGLP1,LUC7L,1.0,0.999956
ZGLP1,CRYGS,1.0,0.999909
ZGLP1,EGFL8,1.0,0.999843
ZGLP1,NPFF,1.0,0.999688
ZGLP1,BRICD5,1.0,0.999961
ZGLP1,UBXN11,1.0,0.9999
ZGLP1,AGER,1.0,0.999874
ZGLP1,THBS3,1.0,0.998986
ZGLP1,TAFAZZIN,1.0,0.999829
ZGLP1,YJU2B,1.0,0.999877
ZGLP1,CENATAC,1.0,0.999865
ZGLP1,FAM156A,1.0,0.999417
ZGLP1,PRR22,1.0,0.999888
ZGLP1,WASH7P,1.0,0.999914
ZGLP1,SLC23A3,1.0,0.998652
ZGLP1,SLFNL1,1.0,0.998727
ZGLP1,GPR35,1.0,0.993855
ZGLP1,C20ORF204,1.0,0.997487
ZGLP1,ITIH4,1.0,0.997504
ZGLP1,LEAP2,1.0,0.996745
ZGLP1,CYP2D7,1.0,0.999428
ZGLP1,NPEPL1,1.0,0.999215
ZGLP1,ZNF133,1.0,0.998255
ZGLP1,DPH7,1.0,0.999938
ZGLP1,FAM193B,1.0,0.999945
ZGLP1,SFSWAP,1.0,0.997129
