Regulator,Target,MoA,Likelihood
NR2E3,USP50,0.921625,0.903028
NR2E3,CRYGS,0.857375,0.914087
NR2E3,NPFF,0.961245,0.934892
NR2E3,UBAP1L,0.980429,0.940705
NR2E3,FAM157B,0.342886,0.624439
NR2E3,C4ORF17,0.552254,0.869003
NR2E3,RAD9B,0.411477,0.916032
NR2E3,SDHAP3,0.886959,0.943946
NR2E3,MIR4763,0.863604,0.872363
NR2E3,PNISR,0.918943,0.942493
NR2E3,SHOX,0.293829,0.747123
NR2E3,FBXO24,0.934433,0.90458
NR2E3,CCDC146,0.96965,0.953365
NR2E3,OR52B6,0.920682,0.816064
NR2E3,CHD2,0.9303,0.811172
NR2E3,KRTAP4-3,-0.004431,0.100659
NR2E3,CCDC27,0.936497,0.850395
NR2E3,MAG,0.791383,0.620915
NR2E3,KCNIP2,0.94184,0.96504
NR2E3,PF4V1,-0.238809,0.565439
NR2E3,MIR122,0.103977,0.635567
NR2E3,JMJD7-PLA2G4B,0.884579,0.838733
NR2E3,PDE6C,0.93538,0.934283
NR2E3,KLHDC1,0.987268,0.907692
NR2E3,IRGM,0.491403,0.762008
NR2E3,SYT7,0.038613,0.678703
NR2E3,BBOX1,0.790475,0.68922
NR2E3,CT62,0.850294,0.68922
NR2E3,SH3GL3,0.941819,0.871513
NR2E3,RPH3A,0.256019,0.755061
NR2E3,PANK1,-0.674205,0.944478
NR2E3,AMBN,0.432284,0.363313
NR2E3,HERC6,0.185149,0.039106
NR2E3,PGAM2,0.780297,0.85754
NR2E3,OR52A1,0.077307,0.039106
NR2E3,VCY,0.068418,0.271523
NR2E3,DBIL5P2,0.958268,0.921461
NR2E3,MIR3132,-0.000989,0.039106
NR2E3,LAIR2,-0.285867,0.796112
NR2E3,MIRLET7G,0.731427,0.68922
NR2E3,FGF20,0.022946,0.713846
NR2E3,ADAM20P1,0.875305,0.487286
NR2E3,SLC6A3,0.024219,0.068743
NR2E3,LINC02210,0.855849,0.862654
NR2E3,POLA2,-0.824034,0.903872
NR2E3,KBTBD12,0.602155,0.334568
NR2E3,MRPL13,-0.272683,0.202699
NR2E3,CFL1P1,0.90839,0.836061
NR2E3,APOL4,-0.159472,0.237756
NR2E3,LOC729737,0.646803,0.555997
NR2E3,MIR4663,0.050152,0.039106
NR2E3,CTSB,-0.089344,0.453592
NR2E3,LYNX1,0.399746,0.76765
NR2E3,SCARNA23,-0.006565,0.167925
NR2E3,KATNBL1,0.321781,0.641707
NR2E3,KLRA1P,0.802312,0.783376
NR2E3,ZNF469,-0.12979,0.551226
NR2E3,POR,-0.420328,0.759568
NR2E3,COLQ,0.897113,0.582869
NR2E3,TFDP3,0.492367,0.304531
NR2E3,ABCA10,0.899401,0.821616
NR2E3,KLHL31,0.555048,0.637531
NR2E3,ATPAF1,-0.001895,0.039106
NR2E3,GTF3C6,-0.048235,0.397955
NR2E3,MIR106B,0.552151,0.334568
NR2E3,H3C11,-0.584739,0.694238
NR2E3,MBIP,0.217611,0.678611
NR2E3,PTPRQ,0.870598,0.809713
NR2E3,NOC2L,-0.438826,0.816738
NR2E3,MUC13,-0.157466,0.459965
NR2E3,KLK2,0.094768,0.133482
NR2E3,ACLY,-0.76215,0.722751
NR2E3,MIR3529,0.084373,0.550415
NR2E3,VENTXP1,-0.001068,0.068743
NR2E3,PDK2,0.173948,0.202699
NR2E3,SOD2,-0.029656,0.237756
NR2E3,ELF5,0.164687,0.202699
NR2E3,HES5,-0.002158,0.039106
NR2E3,SNORA70G,0.609244,0.787846
NR2E3,MIR181C,0.157082,0.012404
NR2E3,GYS2,0.864934,0.654954
NR2E3,TAS2R10,0.757805,0.620915
NR2E3,KCTD17,-0.015194,0.100659
NR2E3,LOC100507053,0.943512,0.754089
NR2E3,FBXO4,0.028022,0.068743
NR2E3,SNORD114-16,0.038243,0.068743
NR2E3,OR8B3,0.161157,0.304531
NR2E3,TM2D3,-0.002716,0.039106
NR2E3,SUMO2,-0.042527,0.304531
NR2E3,P2RX6P,0.045299,0.44299
NR2E3,PDHA1,-0.740078,0.487286
NR2E3,PHF20,0.303495,0.690378
NR2E3,EEF1AKMT3,0.210094,0.202699
NR2E3,FRRS1L,0.746695,0.742636
NR2E3,GCC1,-0.174311,0.677754
NR2E3,ANAPC4,0.257235,0.271523
NR2E3,ATG7,0.052793,0.012404
NR2E3,LOC284009,0.94317,0.916072
NR2E3,GPR75,0.752881,0.487286
NR2E3,RND1,-0.2606,0.237756
NR2E3,APLNR,-0.012468,0.133482
NR2E3,H2AC1,0.022422,0.237756
NR2E3,MIR3128,0.447741,0.7341
NR2E3,FBXW12,0.740875,0.487286
NR2E3,DMRT3,-0.002481,0.068743
NR2E3,ACTN3,0.588538,0.433315
NR2E3,PIK3R2,-0.887588,0.914706
NR2E3,CCZ1B,0.0301,0.012404
NR2E3,FBLL1,0.449853,0.271523
NR2E3,SNORD102,0.614352,0.833846
NR2E3,GCSIR,0.049092,0.039106
NR2E3,OR5M10,-0.047971,0.237756
NR2E3,MIR518B,0.106493,0.039106
NR2E3,MRGPRG-AS1,-0.000863,0.447842
NR2E3,DENND11,0.023176,0.100659
NR2E3,NECAB2,0.216241,0.334568
NR2E3,PPL,0.211716,0.3911
NR2E3,RUFY3,0.960903,0.754089
NR2E3,SLC25A46,-0.003573,0.100659
NR2E3,TOMM20L,0.075358,0.237756
NR2E3,EFCAB3,0.166532,0.364172
NR2E3,HPR,0.554973,0.620915
NR2E3,FFAR4,-0.00396,0.039106
NR2E3,HOXD3,0.339829,0.540073
NR2E3,SYN2,0.125681,0.237756
NR2E3,CARD18,-0.001236,0.202699
NR2E3,LCLAT1,0.063012,0.133482
NR2E3,TLE1,0.045839,0.039106
NR2E3,LGR5,-0.002124,0.100659
NR2E3,TES,0.408655,0.400072
NR2E3,OR2B11,0.221775,0.237756
NR2E3,GGNBP1,0.131646,0.304531
NR2E3,SNORD70,0.389837,0.271523
NR2E3,SLC46A2,0.553711,0.582869
NR2E3,FAM157A,0.648191,0.664838
NR2E3,CATED,0.318201,0.537466
NR2E3,MIR31,0.219092,0.334568
NR2E3,MYOZ1,0.588587,0.487286
NR2E3,AAAS,-0.486145,0.390942
NR2E3,SLC2A7,0.105038,0.237756
