Regulator,Target,MoA,Likelihood
NR2E3,THSD4,1.0,0.999058
NR2E3,LINC01590,0.999999,0.974022
NR2E3,CCDC17,1.0,0.973575
NR2E3,AGBL2,1.0,0.977023
NR2E3,TTLL10,1.0,0.972026
NR2E3,ERP27,0.999997,0.935943
NR2E3,MUC4,0.999998,0.938182
NR2E3,GRAMD2A,1.0,0.965362
NR2E3,CT62,0.999846,0.836718
NR2E3,RNF207,0.999929,0.859755
NR2E3,CDRT4,0.999997,0.9552
NR2E3,BCO2,1.0,0.969916
NR2E3,RAD1,-0.999482,0.941496
NR2E3,CCDC30,0.999999,0.969707
NR2E3,RGS6,0.999965,0.873854
NR2E3,UBXN11,0.999998,0.968001
NR2E3,TTLL9,1.0,0.959487
NR2E3,REXO2,-0.996752,0.85266
NR2E3,DNAJB13,0.999998,0.952695
NR2E3,CACNB1,0.999972,0.87244
NR2E3,NRG4,0.99999,0.922399
NR2E3,DSC2,-0.994518,0.745121
NR2E3,DAAM2,-0.345669,0.895955
NR2E3,TINF2,-0.999314,0.955001
NR2E3,CAPN3,0.99995,0.936769
NR2E3,AZU1,0.999994,0.979598
NR2E3,VWA3A,0.999999,0.918114
NR2E3,RUFY4,0.999954,0.752309
NR2E3,LINC00240,0.999997,0.925675
NR2E3,LRP2BP,0.999999,0.946377
NR2E3,INTU,0.999995,0.932179
NR2E3,SRXN1,-0.999711,0.911282
NR2E3,CCDC40,0.99981,0.94203
NR2E3,IFT172,0.999998,0.975866
NR2E3,LRGUK,0.999998,0.969659
NR2E3,DNAH6,1.0,0.964268
NR2E3,REG1A,0.999881,0.897182
NR2E3,IPCEF1,0.998961,0.873121
NR2E3,KIAA0040,-0.090106,0.393517
NR2E3,TMEM51-AS1,0.999625,0.825413
NR2E3,DYRK1B,0.999987,0.887111
NR2E3,WDR97,0.999956,0.859843
NR2E3,TNNC1,0.999799,0.906634
NR2E3,PLAAT2,0.999992,0.938863
NR2E3,SENP3,-0.997544,0.839882
NR2E3,RHEX,0.999999,0.96578
NR2E3,FUT6,0.941871,0.866474
NR2E3,CAPSL,0.999997,0.928118
NR2E3,CCDC24,0.999987,0.926486
NR2E3,SPATA6L,0.999948,0.873093
NR2E3,GRIA2,0.999999,0.930815
NR2E3,ALPG,0.999977,0.895503
NR2E3,USHBP1,0.999972,0.894533
NR2E3,CIMIP5,0.999993,0.927272
NR2E3,LARRPM,0.999016,0.83905
NR2E3,TMEM212,0.999997,0.919729
NR2E3,GOLGA6L10,0.999962,0.956138
NR2E3,GOSR2,-0.994326,0.6458
NR2E3,MACC1,0.996911,0.588467
NR2E3,MGAT3,0.96835,0.808316
NR2E3,ATG16L2,0.999918,0.91425
NR2E3,SULT1A2,0.999442,0.755572
NR2E3,LGALS9C,0.999948,0.919585
NR2E3,CMTM2,0.999784,0.780087
NR2E3,PLA2G6,0.999986,0.908976
NR2E3,VWA5B1,0.999912,0.898704
NR2E3,ADAMTS6,0.999999,0.951
NR2E3,PABPN1,0.997107,0.614206
NR2E3,SOX3,0.887791,0.484703
NR2E3,CEACAM7,0.975588,0.558732
NR2E3,MUC16,0.999726,0.809421
NR2E3,RASL11A,-0.044298,0.273913
NR2E3,SLC6A20,0.330111,0.298473
NR2E3,HAUS4,-0.984613,0.540467
NR2E3,FAM193B,0.999941,0.843406
NR2E3,ILDR2,-0.58759,0.085402
NR2E3,SLC25A27,0.998495,0.680501
NR2E3,TBC1D3B,0.999949,0.876732
NR2E3,ADAM23,-0.988181,0.515889
NR2E3,PPOX,0.999996,0.925145
NR2E3,NCL,-0.991449,0.782846
NR2E3,LYPD3,-0.824417,0.504966
NR2E3,ARL11,0.812091,0.703911
NR2E3,EVA1C,0.988279,0.738485
NR2E3,SPATS1,0.999994,0.91241
NR2E3,DNAI7,0.999998,0.931052
NR2E3,ARMC3,0.999986,0.964635
NR2E3,ENKUR,0.999995,0.893043
NR2E3,CFAP73,0.999999,0.930928
NR2E3,PLIN1,0.989734,0.844217
NR2E3,HOXD13,-0.796634,0.264596
NR2E3,EDA,0.518194,0.386866
NR2E3,STAR,0.999994,0.917317
NR2E3,MMEL1,0.997843,0.776684
NR2E3,SLC18A3,0.924002,0.487332
